Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,580.5,1180,162,152,30,4,0.061797753,245,69,0.05511811,314,341,512,146,462,551.5,67
1952,747,2160,172,119,61,3,0.066843377,225,66,0.052367317,291,329,590,156,632.5,700,90
1953,NA,NA,191,NA,11,2,0.120714447,261,NA,NA,NA,307,363.4,175,NA,NA,NA
1954,NA,NA,106,NA,NA,NA,0.063948205,237,NA,NA,NA,112,237,90,NA,NA,NA
1955,NA,NA,164,NA,NA,NA,0.096491228,285,NA,NA,NA,83,185,148,NA,NA,NA
1956,NA,NA,128,NA,1,1,0.063829787,245,NA,NA,NA,148,326,112,NA,NA,NA
1957,288,590,124,242,1,1,0.085714286,244,127,0.036764706,371,94,243.9,108,274,295.8,15
1958,265.6,652.5,143,223,1,1,0.082291667,234,142,0.036764706,376,237,301,127,243,266.8,15
1959,NA,NA,162,NA,NA,NA,0.076630435,262,NA,NA,NA,102,185.5,146,NA,NA,NA
1960,NA,NA,132,NA,NA,NA,0.105084746,244,NA,NA,NA,60,70,116,NA,NA,NA
1961,91.6,170,156,210,NA,NA,0.057307061,288,85,0.060606061,373,58,73,140,66,85.2,15
1962,118.6,420,121,245,NA,NA,0.102564103,221,155,0.038094663,376,55,70,105,215,224.8,15
1963,147.8,416,163,197,NA,NA,0.08989899,226,134,0.035087719,360,84,218.8,147,187.5,243.9,21
1964,NA,NA,174,NA,2,1,0.08743565,271,NA,NA,NA,67,92.6,158,NA,NA,NA
1965,283.2,729,112,198,21,4,0.062914097,263,47,0.058760684,310,125.5,258.5,96,473,635.6,71
1966,221.4,448,142,224,NA,NA,0.131067961,228,147,0.028618661,375,319,483,126,190,217,15
1967,360,590,183,133,9,1,0.059747706,270,46,0.038753757,316,89,209,167,331,481.5,65
1968,369,525,162,169,6,1,0.088131533,270,61,0.037996546,331,245,280,146,379,609.8,50
1969,373,609.5,97,269,20,2,0.038319472,222,151,0.036375118,373,266,311,81,296,346.2,15
1970,331.3,512.5,170,194,NA,NA,0.05955197,260,104,0.034951456,364,241.5,351,154,282,326,17
1971,441.4,586,98,250,7,2,0.052064455,267,81,0.036723164,348,200,271.8,82,314.5,353.3,33
1972,389,663.5,114,240,14,4,0.041660469,257,97,0.046210721,354,297,368.1,98,310,343.8,27
1973,475,766,140,139,22,1,0.04997837,241,38,0.084249084,279,164,310.8,124,400,495,102
1974,506.3,1095,143,144,37,2,0.078118089,229,58,0.042290659,287,272,296,127,466,508,94
1975,528.3,1655,158,150,52,3,0.067716535,245,63,0.044176707,308,111,253.8,142,468.5,521.2,73
1976,NA,NA,133,NA,NA,NA,0.094339623,227,NA,NA,NA,360,386,117,NA,NA,NA
1977,NA,NA,180,NA,NA,NA,0.114478114,278,NA,NA,NA,83,108,164,NA,NA,NA
1978,470.5,990,159,138,10,2,0.083891613,257,40,0.066666667,297,83,133,143,364,459,84
1979,268,595,113,144,NA,NA,0.06129386,221,36,0.059906073,257,120,221.2,97,412,447.8,124
1980,430.2,853,126,168,37,2,0.076335878,250,44,0.072704101,294,92,168.4,110,448,515.8,87
1981,240.5,403,189,177,NA,NA,0.063400576,249,129,0.061349693,378,110,166.8,173,160,216,15
1982,470,1200,130,181,32,2,0.062250341,219,92,0.052864462,311,103,249.5,114,465,573.6,70
1983,719,1910,145,156,71,2,0.049038106,253,48,0.064705882,301,521,579,129,756,1460,80
1984,589.3,2365,155,142,97,4,0.043478261,255,42,0.044303797,297,447,2050,139,729,1341,84
1985,548,1130,89,217,40,4,0.062893082,226,80,0.054140127,306,245,341,73,479.5,540.1,75
1986,622,2690,113,177,126,3,0.041152263,245,45,0.053140446,290,257,540,97,567.5,723.6,91
1987,NA,NA,136,NA,NA,NA,0.045942255,192,NA,NA,NA,373,605.1,120,NA,NA,NA
1988,NA,NA,140,NA,NA,NA,0.085410334,279,NA,NA,NA,83,119.7,124,NA,NA,NA
1989,NA,NA,138,NA,NA,NA,0.0625,326,NA,NA,NA,73,90,122,NA,NA,NA
1990,NA,NA,169,NA,NA,NA,0.065420561,326,NA,NA,NA,75,123.4,153,NA,NA,NA
1991,198.8,436.5,188,138,NA,NA,0.106238657,260,66,0.034579091,326,60,117.9,172,308.5,390,55
1992,NA,NA,179,NA,NA,NA,0.07683916,311,NA,NA,NA,103,124,163,NA,NA,NA
1993,414,753,155,147,14,3,0.082872928,265,37,0.060034772,302,49,73,139,413.5,453.2,79
1994,NA,NA,NA,NA,NA,NA,NA,225,133,0.049479167,358,NA,NA,NA,144,192.8,23
1995,350.6,834,139,169,26,2,0.071862348,280,28,0.06259542,308,95,135.4,123,381,516.2,73
1996,279,667,98,268,NA,NA,0.04990662,233,133,0.038277512,366,139,200,82,295,335.8,15
1997,470.6,913,79,219,26,5,0.054054054,258,40,0.045542462,298,179,328.8,63,412,504.8,83
1998,450.8,1230,136,178,22,4,0.050683475,267,47,0.055147245,314,287,353,120,423,481.5,67
1999,391.6,723.5,144,150,36,3,0.071865443,245,49,0.042276423,294,304.5,385.4,128,373.5,409,87
2000,183.6,319,75,273,NA,NA,0.04285991,313,35,0.046989901,348,141,162.4,59,205,257.2,33
2001,185.5,281.5,151,206,NA,NA,0.131221719,214,143,0.058524173,357,63,104.2,135,196,229.8,24
2002,NA,NA,153,NA,NA,NA,0.085133741,221,NA,NA,NA,69,102,137,NA,NA,NA
2003,72.1,143.5,122,126,NA,NA,0.065241082,230,18,0.080882353,248,55,70.5,106,191,255.9,133
2004,145,220,150,191,NA,NA,0.121710526,194,147,0.089090909,341,50,59.3,134,178.5,204.4,40
2005,327.2,1190,166,125,16,4,0.12397541,237,54,0.065153634,291,125,218.7,150,385,474.6,90
2006,265.5,960,132,146,35,2,0.046666667,216,62,0.085888975,278,83.05,164.5,116,411,453.6,103
2007,NA,NA,105,NA,NA,NA,0.076271186,253,NA,NA,NA,97,163.2,89,NA,NA,NA
2008,162.8,631,159,129,NA,NA,0.101604278,267,21,0.038996791,288,62,91.24,143,456,496,93
2009,248,689,161,149,7,2,0.111111111,268,42,0.060043219,310,68.7,128.2,145,398.5,469,71
2010,262,554,181,111,6,1,0.111298482,256,36,0.059150533,292,56,98.4,165,359,423.9,89
2011,586,2250,149,176,105,3,0.058823529,273,52,0.045212766,325,95.5,481.6,133,470,532.6,56
2012,145.5,324,130,236,NA,NA,0.064794816,284,90,0.059885276,374,240,393.4,114,182,202.4,15
2013,NA,NA,146,NA,NA,NA,0.064864865,244,NA,NA,NA,58,83.35,130,NA,NA,NA
2014,NA,NA,115,NA,NA,NA,0.082452431,320,NA,NA,NA,55.1,65,99,NA,NA,NA
2015,NA,NA,171,NA,NA,NA,0.068493151,311,NA,NA,NA,59.8,102.2,155,NA,NA,NA
2016,158.7,327,128,238,NA,NA,0.135,225,149,0.056752308,374,46.9,56.38,112,158,186.4,15
2017,365.2,1105,119,192,9,3,0.056910569,253,58,0.054320988,311,76.7,140.6,103,301,347.6,70
2018,NA,NA,154,NA,NA,NA,0.050359712,330,NA,NA,NA,67.3,88.6,138,NA,NA,NA
2019,267,1020,160,131,4,1,0.090500401,232,59,0.063595072,291,53.9,80.82,144,344,389,90
2020,214,371,140,226,NA,NA,0.076243094,217,158,0.04924908,375,62.65,89.43,124,197,210.4,15
2021,78.2,154,164,202,NA,NA,0.070588235,306,62,0.101922237,368,50.2,71.37,148,69.6,84.18,15
2022,NA,NA,146,NA,NA,NA,0.095709571,348,NA,NA,NA,60.5,73.42,130,NA,NA,NA
2023,342.4,1000,154,159,53,2,0.068273092,230,83,0.065088757,313,78.95,194,138,316,397,68
2024,375.1,1040,137,158,7,1,0.073329265,252,43,0.040032143,295,NA,NA,NA,NA,NA,NA
