Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2012,143.9,223.5,8,208,130,3,0.009029391,151,65,0.021678158,216,NA,NA,0,161,177,165
2013,116,149,197,111,NA,NA,0.034250585,290,18,0.029850419,308,120,127,181,161.5,182.8,73
2014,138,160,166,125,5,2,0.026490066,273,18,0.025316456,291,112,122.1,150,167,188.4,90
2015,NA,NA,164,NA,NA,NA,NA,0,NA,NA,163,107,115,148,140,164,218
2016,NA,NA,143,NA,NA,NA,0.034965035,262,NA,NA,NA,109,117,127,NA,NA,NA
2017,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,164,97.8,109.8,163,149,165.5,217
2018,8.08,77.6,136,25,NA,NA,NA,NA,NA,NA,161,97.8,105.1,120,142,160,220
2019,NA,NA,203,NA,NA,NA,NA,162,31,0.035379712,193,115,129.4,187,131,155,188
2020,122,169,162,156,11,4,NA,NA,NA,NA,318,118,128,146,169,174,63
2021,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,169,111,117,160,127,142,212
2022,NA,NA,169,NA,NA,NA,0.026763337,294,NA,NA,NA,128,156.8,153,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,203,22,0.253819444,225,NA,NA,NA,144,153,156
2024,NA,NA,240,NA,10,1,NA,148,22,0.165745856,170,NA,NA,NA,NA,NA,NA
