Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1991,8,10,156,148,10,1,0.141851107,255,49,0.094298246,304,6.35,7.91,140,6.8,8.2,77
1992,NA,NA,NA,NA,NA,NA,NA,203,124,0.072727273,327,NA,NA,NA,4.45,6,54
1993,7.71,14,154,182,17,1,0.088888889,244,92,0.083333333,336,5.45,9.4,138,6.5,9.43,45
1994,4.81,10,143,202,NA,NA,0.097619048,244,101,0.071428571,345,7.6,10,127,3.1,7.66,36
1995,12,26,149,176,40,3,0.136363636,261,64,0.057142857,325,6.9,9,133,12,15,56
1996,7,20,156,173,10,3,0.090909091,257,72,0.081666667,329,9.55,16,140,8,9,52
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,5,9,13,292,NA,NA,0.118606138,245,60,0.080828978,305,NA,NA,0,5.55,6.55,76
2005,13.7,33.6,176,128,32,2,0.076076248,265,39,0.0625,304,10,13.82,160,8.95,11.15,77
2006,11,25.95,168,168,24,2,0.066782205,255,81,0.058823529,336,10,12.4,152,9,11.07,45
2007,NA,NA,NA,NA,NA,NA,NA,229,95,0.088209877,324,NA,NA,NA,7,11.1,57
2008,10,23,167,155,8,2,0.07751938,251,71,0.058823529,322,8.1,10.9,151,8,11,59
2009,11,23.7,162,141,1,1,0.064718163,237,66,0.056165397,303,10,11.5,146,9,10.4,78
2010,9.76,21,163,139,5,1,0.083333333,254,48,0.049158978,302,10,11.9,147,9,10,79
2011,14,31.5,175,159,53,3,0.064516129,271,63,0.051020408,334,9,13,159,12,15.4,47
2012,7.98,11,102,179,NA,NA,0.090909091,242,39,0.05952381,281,8.55,14.1,86,6.4,8.02,100
2013,8.8,11,112,154,NA,NA,0.08989899,234,32,0.052910053,266,7.8,11.15,96,7,9,115
2014,5,9,94,248,NA,NA,0.080188679,243,99,0.111111111,342,5,8,78,6,8,39
2015,6,8.3,112,254,NA,NA,0.067040149,243,132,0.125,375,7,8.15,96,4,5,15
2016,6.36,9.8,87,209,NA,NA,0.055175038,237,59,0.051546392,296,4.6,9.3,71,6,9,85
2017,11.42,20.7,134,153,14,2,0.0625,250,37,0.04964539,287,8.55,11,118,8,11,94
2018,6.8,11.1,136,142,NA,NA,0.072289157,227,51,0.048199768,278,8.6,10.9,120,6,8,103
2019,9.12,24.3,168,157,2,2,0.074733096,263,62,0.090909091,325,7.7,8.4,152,11,12,56
2020,8,12.1,149,175,NA,NA,0.048780488,248,76,0.094153447,324,9,11,133,5,6,57
2021,5.12,8.8,96,263,NA,NA,0.051546392,236,123,0.058823529,359,5.35,8,80,6,10,22
2022,6.62,10.4,125,169,NA,NA,0.038216561,236,58,0.06097561,294,7.6,9.14,109,6,7,87
2023,11,28,180,141,31,1,0.082352941,241,80,0.055467512,321,7.3,9.14,164,9,12,60
2024,9,23.1,163,141,1,1,0.069218674,255,49,0.081081081,304,NA,NA,NA,NA,NA,NA
