Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1981,10.8,54,191,95,NA,NA,0.221049784,254,32,0.146428571,286,4.2,9.84,175,36.5,59.4,95
1982,28,154,196,121,2,2,0.150537634,268,49,0.13349071,317,5.7,13.1,180,39,119.4,64
1983,66.9,185.5,216,130,42,3,0.131868132,286,60,0.149659864,346,22.9,62.63,200,85.55,107,35
1984,37,243,204,111,37,4,0.19147632,266,49,0.117647059,315,15,27.43,188,75.6,100.05,66
1985,29.8,190,186,97,5,2,0.218136761,271,12,0.208333333,283,11,21.82,170,53.2,79.1,98
1986,26,133,173,139,16,3,0.152173913,264,48,0.155405405,312,7.9,38.6,157,48.5,82.5,69
1987,20,34,191,175,NA,NA,0.210723514,233,134,0.13245614,367,15,23.6,175,17,44.8,15
1988,5.2,37.5,188,92,NA,NA,0.349179025,246,34,0.252268603,280,5,11,172,15,23,101
1989,8.2,44,183,93,NA,NA,0.185666313,256,20,0.222321429,276,6.5,12.4,167,16,24,105
1990,10,24,177,114,NA,NA,0.333333333,257,34,0.118644068,291,6.5,8,161,10,13,90
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,9.64,78,194,109,NA,NA,0.194444444,262,41,0.199344188,303,6,16,178,8,16.4,78
2000,4.42,34,187,87,NA,NA,0.294117647,245,29,0.1,274,2.9,6.5,171,5.8,20.2,107
2001,3.34,17,197,143,1,1,0.333333333,241,99,0.149212234,340,2.2,9.5,181,13.25,18.2,41
2002,3.775,29.5,198,82,NA,NA,0.283157961,248,32,0.176470588,280,1.825,8.217,182,8.44,14.44,101
2003,4.81,25,208,75,2,1,0.336987318,245,38,0.136861314,283,1.235,5.074,192,7.88,13.54,98
2004,3.83,20.5,167,114,NA,NA,0.413711584,255,26,0.263863719,281,2,7.7,151,5.4,9.41,100
2005,20.7,151,186,125,15,3,0.137925215,270,41,0.097660819,311,3.85,18.92,170,26,37.76,70
2006,18.15,103,175,118,16,3,0.195512821,256,37,0.12605042,293,2.7,10.74,159,19.1,39.58,88
2007,10.29,22.5,188,134,NA,NA,0.230416471,252,70,0.076333823,322,2.66,9.392,172,22.2,30.97,59
2008,12.8,131,198,106,16,4,0.214923732,266,38,0.185074627,304,9.2,16.08,182,10.9,22.96,77
2009,15.2,133,187,119,10,4,0.11969112,267,39,0.18072945,306,11.8,19.4,171,16.55,24.53,75
2010,15.26,73.9,193,109,8,1,0.304964539,256,46,0.111702128,302,1.93,7.718,177,13.75,21.73,79
2011,25.75,204.5,208,116,41,2,0.151515152,279,45,0.136150235,324,3.57,20.48,192,17.45,25.6,57
2012,8.792,24.3,184,109,NA,NA,0.461254613,251,42,0.120879121,293,2.665,5.863,168,17.55,23.93,88
2013,3.526,27.3,176,143,NA,NA,0.201451449,281,38,0.111859948,319,2.15,4.773,160,17.5,30.6,62
2014,16.81,48.75,189,98,NA,NA,0.339823009,245,42,0.108410481,287,1.99,7.732,173,20.5,33.6,94
2015,3.34,52.7,183,91,NA,NA,0.225454545,247,27,0.153862184,274,1.62,8.256,167,8.805,21.35,107
2016,8.75,34.4,187,131,NA,NA,0.447143335,252,66,0.119836389,318,2.15,5.05,171,10.3,16.7,63
2017,16.95,98.5,175,112,1,1,0.145454545,264,23,0.181102362,287,2.85,11.64,159,12.4,31.42,94
2018,7.2,33.7,190,81,NA,NA,0.160714286,240,31,0.138794102,271,1.81,4.948,174,9.89,20.8,110
2019,15.9,135,196,106,17,3,0.196750506,277,25,0.156535511,302,2.5,13.3,180,10.65,39.96,79
2020,5,82.1,198,91,2,1,0.305555556,254,35,0.173796791,289,2.9,10.39,182,14.65,29.95,92
2021,3.528,16.6,186,172,NA,NA,0.18117876,251,107,0.171072043,358,2.33,4.927,170,7.93,16.5,23
2022,7.825,88.1,208,86,NA,NA,0.30036339,257,37,0.140625,294,1.87,6.468,192,3.56,9.405,87
2023,32.4,289,202,99,39,1,0.119170984,266,35,0.117183002,301,3.115,21.05,186,6.43,24.5,80
2024,9.22,82.9,194,96,13,1,0.155784966,256,34,0.171084337,290,NA,NA,NA,NA,NA,NA
