Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2004,5.237,11.8,122,194,1,1,0.095402409,181,135,0.084507042,316,7.085,9.385,106,4.83,6.534,65
2005,12.04,42.4,148,159,20,3,0.104196162,268,39,0.04525072,307,12.3,16.39,132,8.51,9.668,74
2006,15.54,69.9,154,145,38,6,0.067238913,255,44,0.052887304,299,12,17.6,138,9.08,12.4,82
2007,5.53,15.8,124,159,NA,NA,0.083333333,229,54,0.084090909,283,12,14.73,108,4.76,7.15,98
2008,8.836,37.6,165,159,13,4,0.12266526,267,57,0.058823529,324,7.51,11.22,149,7.97,10.64,57
2009,8.681,32.3,140,188,1,1,0.067794253,264,64,0.050438596,328,10.9,13.47,124,7.4,10.66,53
2010,7.268,25.7,157,164,2,2,0.131960811,258,63,0.049348056,321,10,11.5,141,6.65,8.704,60
2011,15.37,71.2,152,178,70,6,0.123936817,265,65,0.063405304,330,13.95,16.65,136,11.65,15.33,51
2012,7.698,20.9,135,139,NA,NA,0.079365079,222,52,0.05785124,274,11.9,15.82,119,5.69,7.918,107
2013,7.224,15.7,124,175,NA,NA,0.04034517,235,64,0.061145647,299,9.595,13.32,108,6.07,6.91,82
2014,6.676,17.8,103,183,NA,NA,0.072533849,244,42,0.0625,286,6.5,8.468,87,8.095,11.08,95
2015,7.496,12.6,100,197,NA,NA,0.066666667,243,54,0.056862745,297,9.345,10.9,84,6.11,7.74,84
2016,8.8,20.2,115,181,NA,NA,0.111111111,237,59,0.064725597,296,7,10,99,5,8.68,85
2017,12,42.95,103,186,6,2,0.090909091,252,37,0.057420023,289,8.7,11,87,8.8,11.5,92
2018,5.01,14.9,102,192,NA,NA,0.092063492,234,60,0.11827957,294,10.6,13,86,5.35,9,87
2019,10.45,45.35,159,166,9,5,0.078431373,254,71,0.071428571,325,9.1,12.08,143,11.8,13.6,56
2020,9.97,27.05,142,150,NA,NA,0.090443465,248,44,0.082644628,292,12,14.05,126,5,7.68,89
2021,4,11,98,188,NA,NA,0.1,237,49,0.141134752,286,6,8.89,82,5,9,95
2022,6,17,109,189,NA,NA,0.125880282,245,53,0.097619048,298,7.2,11,93,6,8.95,83
2023,17.08,73.3,168,133,59,4,0.052980132,240,61,0.049590164,301,9.78,13.2,152,11.7,14.86,80
2024,9.908,51.6,148,153,1,1,0.069863014,255,46,0.079638535,301,NA,NA,NA,NA,NA,NA
