Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,158,486,181,111,22,3,0.079166667,263,29,0.073770492,292,124,184.8,165,114.5,152.9,89
1952,151.5,964.5,179,116,63,2,0.089061834,254,41,0.07866454,295,116,152,163,127,168.5,86
1953,101.6,176,176,119,5,1,0.082568807,261,34,0.109401709,295,110,137,160,74,121.4,86
1954,100.2,136,119,172,2,1,0.106923077,237,54,0.113138686,291,75,99.6,103,61,83.8,90
1955,58,108,170,175,4,1,0.2375,261,84,0.088407367,345,58,65.7,154,53,86.9,36
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,80.2,169,50,228,NA,NA,0.211517023,174,104,0.112385504,278,99,324,34,174,465,103
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,87,102,176,189,NA,NA,0.027617689,326,39,0.044493882,365,30,183.5,160,81,82,16
1990,128,196,188,133,NA,NA,0.020100503,287,34,0.011904762,321,102,110,172,176,235.2,60
1991,79,194.5,203,78,4,1,0.034090909,260,21,0.07960199,281,26,162,187,234,288.6,100
1992,70.4,170,187,179,NA,NA,0.017094017,352,26,0.12,378,26,202,171,23,23,15
1993,139,237,161,129,7,2,0.044303797,265,25,0.060836502,290,23,24,145,225,273.1,91
1994,79.5,197,179,187,NA,NA,0.03030303,307,63,0.014870094,370,136,205,163,179,182,15
1995,192.3,643,219,94,40,2,0.032467532,276,37,0.08411215,313,28,180.4,203,201,213.4,68
1996,203,214,125,231,10,1,0.009852217,265,91,0.024038462,356,127,208,109,209,211,25
1997,199.2,456,159,133,18,4,0.057681103,258,34,0.085427136,292,201,224,143,203,218.3,89
1998,195,342,171,139,18,1,0.055378361,273,37,0.051999607,310,150,210,155,198.5,207.1,71
1999,145,333,203,97,15,2,0.059701493,264,36,0.088461538,300,200,210,187,181,203,81
2000,108,201,208,138,NA,NA,0.059701493,261,85,0.014670716,346,162,199,192,170,181,35
2001,NA,NA,209,NA,NA,NA,0.015805235,307,NA,NA,NA,79,103,193,NA,NA,NA
2002,NA,NA,225,NA,NA,NA,0.019047619,318,NA,NA,NA,32.5,35.2,209,NA,NA,NA
2003,33.64,161.5,216,92,NA,NA,0.010582011,301,7,0.026143791,308,30.2,33.3,200,167,204.7,73
2004,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,128.7,282,178,120,15,2,0.114752863,270,28,0.07518797,298,76.4,83.29,162,157.5,164,83
2006,165.04,508.5,169,110,5,2,0.064840261,257,22,0.027272171,279,79,200.4,153,204,217,102
2007,NA,NA,202,NA,NA,NA,0.01754386,325,NA,NA,NA,63.6,185,186,NA,NA,NA
2008,87.38,219,239,73,NA,NA,0.099301987,272,40,0.02789644,312,66.5,71.4,223,203,210,69
2009,102,231.5,196,100,7,2,0.131303231,267,29,0.044985615,296,59.7,66,180,178,186.7,85
2010,71.4,209,222,74,6,1,0.035897436,259,37,0.049587327,296,71.4,79.75,206,183,187,85
2011,205,672,152,172,36,2,0.012896381,284,40,0.049327354,324,83.2,205,136,202,206,57
2012,NA,NA,210,NA,NA,NA,0.019685039,339,NA,NA,NA,92.8,205,194,NA,NA,NA
2013,NA,NA,198,NA,NA,NA,0.008947484,273,NA,NA,NA,26,27,182,NA,NA,NA
2014,NA,NA,182,NA,NA,NA,0.013756638,320,NA,NA,NA,25.95,28.15,166,NA,NA,NA
2015,NA,NA,170,NA,NA,NA,0.016393443,336,NA,NA,NA,26.65,28,154,NA,NA,NA
2016,NA,NA,166,NA,NA,NA,0.018311224,310,NA,NA,NA,26.4,27.8,150,NA,NA,NA
2017,74.6,189,128,177,6,1,0.055857886,253,52,0.025,305,27.7,28.98,112,87,110,76
2018,NA,NA,NA,NA,NA,NA,NA,343,34,0.037878788,377,NA,NA,NA,26.2,26.98,15
2019,76.56,172,178,114,2,1,0.027380952,267,25,0.032398571,292,27.1,29.4,162,181,197.3,89
2020,NA,NA,223,NA,NA,NA,NA,NA,NA,NA,204,25.3,156.8,207,195,217,177
2021,25.51,106,203,163,NA,NA,0.088888889,270,97,0.01625,367,25.1,27.74,187,28.4,29.06,15
2022,NA,NA,197,NA,NA,NA,0.019417476,244,NA,NA,NA,25.1,29.3,181,NA,NA,NA
2023,152,210.5,116,182,1,1,0.026768731,257,41,0.111111111,298,24.25,26.71,100,211.5,228,83
2024,75.2,181,148,130,7,1,0.027264353,253,25,0.048888889,278,NA,NA,NA,NA,NA,NA
