Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2002,126,133,200,57,NA,NA,0.040863427,237,20,0.021276596,257,137,139,184,138,162.4,124
2003,124.9,130,214,80,2,1,0.017985612,263,31,0.040983607,294,138,143,198,120.5,129,87
2004,131.1,151.5,211,62,2,1,0.022556391,243,30,0.086952268,273,133,139,195,147.5,170.3,108
2005,163.2,449,208,93,9,1,0.093896714,269,32,0.053246753,301,124,133.9,192,134,176.6,80
2006,144.5,311,175,116,14,3,0.034710991,244,47,0.041379145,291,127,138,159,151,199,90
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,NA,NA,NA,132,542.4,118
2008,171,449,197,163,1,1,0.041666667,268,92,0.011013216,360,122,136,181,183,205,21
2009,172.6,459,187,163,6,1,0.054545455,251,99,0.020703934,350,139,148,171,196.5,246,31
2010,163.4,344,214,145,NA,NA,0.044326241,271,88,0.011096746,359,135,138.3,198,162,202,22
2011,293,476,132,223,10,1,0.006739799,283,72,0.017795381,355,133,154.5,116,178,216.4,26
2012,158,464,259,101,NA,NA,0.005576208,327,33,0.012875536,360,137,154,243,185,212,21
2013,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,147,134,142.9,242,142,206.8,234
2014,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,161.2,192.5,257,92,NA,NA,0.01875,329,20,0.025978408,349,134,190,241,225,238,32
2016,143.9,182,207,74,NA,NA,0.015955348,349,NA,NA,281,135,163,191,346.5,571.1,100
2017,160.6,449,203,127,14,1,0.077157146,257,73,0.032961624,330,144,156,187,165.5,202,51
2018,176,369.5,199,148,NA,NA,0.020181655,265,82,0.012166525,347,141,155,183,326,338,34
2019,201.5,460.5,218,108,11,1,0.044167329,269,57,0.034907598,326,138.5,143.9,202,172,195,55
2020,231.6,363,197,107,10,2,0.035509536,247,57,0.020172911,304,121,132,181,243,309.6,77
2021,150,186,196,170,NA,NA,0.033333333,326,48,0.024448133,374,124,136,180,137,139,15
2022,132,153,189,98,NA,NA,0.034482759,272,15,0.022727273,287,134,140,173,148,180.4,94
2023,186.6,615,171,139,30,2,0.022364217,270,40,0.049365879,310,135,140,155,167,197.1,71
2024,161,599,177,119,13,1,0.010273973,254,42,0.062111801,296,NA,NA,NA,NA,NA,NA
