Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1993,22,165,153,137,6,3,0.184210526,232,58,0.096244686,290,19,25,137,16,24.1,91
1994,21.4,83,142,123,NA,NA,0.076122931,207,58,0.083333333,265,25,30,126,20,27,116
1995,44,171.5,138,164,4,4,0.09580476,249,53,0.07480315,302,33.5,49.9,122,23,43,79
1996,40.8,182,152,129,4,2,0.164772727,246,35,0.127659574,281,43,51,136,28,42.1,100
1997,65.5,244,151,146,27,2,0.092063492,230,67,0.067118554,297,64,110.4,135,61,97,84
1998,76.9,315.5,160,130,28,3,0.082136923,226,64,0.063442082,290,62,76.7,144,99,111,91
1999,58.4,139,173,135,9,3,0.092783505,253,55,0.038461538,308,89,149.4,157,48,53,73
2000,23.1,69,111,152,NA,NA,0.077878788,227,36,0.090909091,263,58,61,95,19,29,118
2001,20,72,139,111,NA,NA,0.085714286,220,30,0.103092784,250,37,40,123,17,21.2,131
2002,16,108,154,116,NA,NA,0.083333333,244,26,0.123795281,270,30.8,32.2,138,17.15,28.4,111
2003,21.36,53.5,123,135,NA,NA,0.110657596,232,26,0.12,258,31.7,33.7,107,14.1,15.99,123
2004,18.3,54.95,137,134,NA,NA,0.093478261,222,49,0.088050314,271,28.9,32.9,121,16.2,25.21,110
2005,49.84,214,167,125,15,4,0.30514456,226,66,0.063953488,292,35.8,47.4,151,34.05,46.88,89
2006,53,203,154,131,12,5,0.127864513,215,70,0.043991164,285,52.05,67.19,138,40.5,53.02,96
2007,27.5,73.4,122,146,NA,NA,0.057796258,218,50,0.038623687,268,49.95,59.45,106,22.65,31.69,113
2008,25.9,151,177,111,3,1,0.093023256,247,41,0.092465753,288,35,43.1,161,17.8,35.38,93
2009,41.1,172,154,137,2,1,0.09469697,218,73,0.075347977,291,41,46.76,138,36.7,47.82,90
2010,27.23,113.5,175,118,NA,NA,0.068810204,249,44,0.068317922,293,42.5,46.92,159,20.8,27.78,88
2011,69.92,270,151,167,48,2,0.106418919,255,63,0.053811659,318,46.5,64.92,135,60.65,67.17,63
2012,31.34,70.75,99,168,NA,NA,0.06779661,213,54,0.066176471,267,64.5,67.16,83,21.8,24,114
2013,32,44.8,24,241,NA,NA,0.050056948,233,32,0.079268293,265,36.6,43.43,8,21.7,27.16,116
2014,19.22,55.5,119,157,NA,NA,0.08,233,43,0.087759815,276,30.2,33.5,103,19.5,24.52,105
2015,17.95,36.95,165,106,NA,NA,0.069212411,244,27,0.08218793,271,31,34.52,149,15.1,17.2,110
2016,26,88.05,130,154,NA,NA,0.136638363,237,47,0.069711538,284,26.8,30.37,114,18.1,26.62,97
2017,55.86,326,118,190,41,9,0.101399228,228,80,0.045102266,308,40.85,64.75,102,42.25,59.56,73
2018,26.76,128,152,120,1,1,0.062891305,227,45,0.059288538,272,62.95,91.25,136,20.45,32.6,109
2019,49.01,205.5,165,132,9,2,0.142857143,213,84,0.050504798,297,40.1,55.04,149,35,52.74,84
2020,23.72,106,148,135,NA,NA,0.056451613,217,66,0.063319778,283,47.9,51.25,132,18.95,27.43,98
2021,NA,NA,NA,NA,NA,NA,NA,191,67,0.046745562,258,NA,NA,NA,16.1,25.88,123
2022,27.9,64.7,145,135,NA,NA,0.097420855,245,35,0.07684908,280,31.3,37.6,129,17.2,29,101
2023,63.16,296,174,117,34,2,0.152536644,229,62,0.054056991,291,34.05,55.84,158,38.2,56.04,90
2024,46.69,166.5,140,148,6,1,0.101777805,232,56,0.069124424,288,NA,NA,NA,NA,NA,NA
