Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,248,559,170,141,34,4,0.09352518,264,47,0.070175229,311,174,181,154,281,354.8,70
1952,343,534,139,174,62,3,0.032349896,257,56,0.052845528,313,177,201,123,310,421.4,68
1953,NA,NA,220,NA,15,2,0.151162791,261,NA,NA,NA,147,187,204,NA,NA,NA
1954,24.4,341,191,160,NA,NA,0.071428571,286,65,0.039513678,351,44,169,175,160,245,30
1955,72.7,432,217,149,NA,NA,0.119284294,287,90,0.035294118,377,0.8,80,201,92,99.6,15
1956,74.5,505,210,156,19,2,0.106321839,251,125,0.03030303,376,3.2,158,194,92,104.4,15
1957,NA,NA,228,NA,NA,NA,0.096944472,295,NA,NA,NA,3.3,158,212,NA,NA,NA
1958,106.8,406,156,210,NA,NA,0.049740537,319,54,0.057142857,373,140,200,140,NA,NA,15
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
