Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,NA,NA,169,NA,NA,NA,0.061252557,335,NA,NA,NA,80,100,153,NA,NA,NA
1952,216,837,174,98,55,2,0.161878882,221,51,0.071856287,272,74,94,158,348,509,109
1953,NA,NA,192,NA,NA,NA,0.063047285,334,NA,NA,NA,132,176.5,176,NA,NA,NA
1954,120.6,286,182,169,NA,NA,0.080851064,327,24,0.12,351,80,94,166,135,197.8,30
1955,104.1,263,165,198,NA,NA,0.098039216,281,82,0.076665114,363,57,62,149,90,166.8,18
1956,133.8,309,177,175,NA,NA,0.054744526,289,63,0.044198222,352,69,95,161,111,222.4,29
1957,NA,NA,178,NA,9,1,0.083269157,283,NA,NA,NA,59.5,114,162,NA,NA,NA
1958,155.8,391,164,185,19,3,0.072727273,308,41,0.062678063,349,80,103,148,154,192,32
1959,101.2,254,204,157,NA,NA,0.066137566,290,71,0.114285714,361,79,88.3,188,72,163.4,20
1960,111,283,166,181,NA,NA,0.077669903,269,78,0.069078947,347,48,60.2,150,91.5,139.7,34
1961,80,199,205,139,NA,NA,0.075471698,270,74,0.078431373,344,49,57.2,189,69,89.5,37
1962,128.1,297,164,184,4,1,0.097945079,321,27,0.072017916,348,48,81.2,148,130,177.5,33
1963,93,226,192,158,NA,NA,0.063789596,283,67,0.076923077,350,56,73.5,176,98.5,237.4,31
1964,NA,NA,186,NA,NA,NA,0.091666667,290,NA,NA,NA,49,58.1,170,NA,NA,NA
1965,120.9,333,170,192,8,2,0.092039434,247,115,0.069908815,362,64,90.5,154,81.5,185.2,19
1966,123,272,150,197,NA,NA,0.080605794,318,29,0.093506494,347,69,84,134,123,222,34
1967,NA,NA,146,NA,5,2,0.081300813,331,NA,NA,NA,56,70,130,NA,NA,NA
1968,141,394,173,159,11,4,0.067373701,287,45,0.057926829,332,70,105.4,157,260,371.2,49
1969,NA,NA,163,NA,37,6,0.136363636,222,NA,NA,NA,84,97,147,NA,NA,NA
1970,117,359,192,159,1,1,0.06326636,328,23,0.07249467,351,85.5,105,176,182,316.6,30
1971,109,393.5,164,184,2,1,0.072072072,313,35,0.064516129,348,84,113,148,92,124.7,33
1972,137,255,148,201,NA,NA,0.047186297,322,27,0.063894523,349,87,101.8,132,121.5,144.4,32
1973,150.4,378,183,173,26,2,0.085139973,278,78,0.06735348,356,75,98,167,121.5,174.9,25
1974,168.6,403,166,187,8,1,0.060722399,316,37,0.043035619,353,93,102.1,150,164,225.8,28
1975,200,396.5,206,148,29,2,0.142386133,249,105,0.057971014,354,88.5,113,190,222,250.5,27
1976,162.1,354,181,172,1,1,0.066666667,319,34,0.059375,353,95,108.6,165,135.5,199.7,28
1977,NA,NA,195,NA,NA,NA,0.096774194,322,NA,NA,NA,66,72,179,NA,NA,NA
1978,122.8,360,162,197,6,2,0.085784314,305,54,0.069767442,359,52,57,146,76,144,22
1979,NA,NA,156,NA,11,3,0.048611111,269,NA,NA,NA,72,79,140,NA,NA,NA
1980,145,474,156,201,46,3,0.059988744,239,118,0.044470369,357,77,145,140,130,228.5,24
1981,126.4,330,191,159,NA,NA,0.065666704,318,32,0.07654321,350,86,96.2,175,124.5,161,31
1982,222.9,469.5,165,190,44,2,0.072080049,234,121,0.039983165,355,73,138.6,149,151,258.4,26
1983,341.6,537,190,115,41,1,0.104718695,250,55,0.035167347,305,127,298,174,320,697,76
1984,366,727,173,131,105,13,0.109034268,233,71,0.043343943,304,170,657.8,157,250,370,77
1985,171.2,491,154,209,59,4,0.059680314,322,41,0.068062827,363,132,193.6,138,153,164,18
1986,198,479,128,238,64,4,0.076413776,237,138,0.028798541,375,128.5,148,112,143,157.2,15
1987,156,345,194,144,NA,NA,0.062684675,313,25,0.093797348,338,124,146,178,212.5,280.3,43
1988,NA,NA,192,NA,NA,NA,0.034793132,273,NA,NA,NA,77,97,176,NA,NA,NA
1989,NA,NA,74,NA,NA,NA,0.038333092,268,NA,NA,NA,63.5,70,58,NA,NA,NA
1990,NA,NA,11,NA,NA,NA,0.027580972,284,NA,NA,NA,NA,NA,0,NA,NA,NA
1991,NA,NA,202,NA,NA,NA,0.044431935,279,NA,NA,NA,128.5,154.5,186,NA,NA,NA
1992,NA,NA,37,NA,NA,NA,0.028985507,321,NA,NA,NA,59,63,21,NA,NA,NA
1993,159,349,86,280,17,1,0.036363636,315,63,0.065902579,378,113,151,70,71,103.8,15
1994,NA,NA,206,NA,NA,NA,0.051331041,270,NA,NA,NA,83,106,190,NA,NA,NA
1995,176,435,154,212,45,2,0.058668488,249,128,0.051522248,377,71,90,138,105,108.6,15
1996,161.9,397,154,212,15,1,0.063324538,308,70,0.035498185,378,100.5,113.3,138,89,99.4,15
1997,NA,NA,154,NA,29,1,0.075789474,286,NA,NA,NA,110,128.6,138,NA,NA,NA
1998,NA,NA,160,NA,41,5,0.047826087,325,NA,NA,NA,111,118,144,NA,NA,NA
1999,NA,NA,194,NA,4,1,0.060423532,283,NA,NA,NA,140.5,160,178,NA,NA,NA
2000,NA,NA,173,NA,NA,NA,0.047058824,305,NA,NA,NA,85,92,157,NA,NA,NA
2001,NA,NA,197,NA,NA,NA,0.058823529,311,NA,NA,NA,68,78,181,NA,NA,NA
2002,NA,NA,38,NA,NA,NA,0.029411765,273,NA,NA,NA,119.5,134.8,22,NA,NA,NA
2003,NA,NA,145,NA,NA,NA,0.037878788,310,NA,NA,NA,113,123,129,NA,NA,NA
2004,NA,NA,156,NA,NA,NA,0.035823768,273,NA,NA,NA,113,124.1,140,NA,NA,NA
