Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2005,221.7,285,15,351,17,3,0.030031553,323,55,0.05415727,378,NA,NA,0,128,135.4,15
2006,176.6,431,168,198,32,3,0.064750246,231,135,0.046231546,366,136,156.9,152,154,164.4,15
2007,149.1,323,193,173,NA,NA,0.040443181,301,76,0.035369775,377,132,155,177,102,106.2,15
2008,169.2,402.5,180,172,8,3,0.05895749,328,24,0.052375417,352,113.5,130.7,164,156,213,29
2009,196.5,406,179,187,8,3,0.053475936,320,57,0.043307087,377,124,146.8,163,138,150.8,15
2010,NA,NA,188,NA,NA,NA,0.03960396,286,NA,NA,NA,125,143,172,NA,NA,NA
2011,NA,NA,176,NA,49,3,0.124530075,239,NA,NA,NA,144,179.3,160,NA,NA,NA
2012,NA,NA,197,NA,NA,NA,0.040913783,318,NA,NA,NA,140,154,181,NA,NA,NA
2013,131,367,197,169,NA,NA,0.045205816,326,49,0.052631579,375,108,124,181,110,113.2,15
2014,138.8,347,206,160,NA,NA,0.053608247,305,73,0.048211898,378,106,119,190,90.4,93.78,15
2015,NA,NA,179,NA,NA,NA,0.065656566,277,NA,NA,NA,102,108,163,NA,NA,NA
2016,114,284,205,161,NA,NA,0.037718902,310,68,0.048780488,378,77.6,87.76,189,48.9,53.08,15
2017,116,357,120,246,7,1,0.051771117,295,83,0.035379679,378,64.65,83.39,104,87,97.16,15
2018,NA,NA,206,NA,NA,NA,0.038834951,283,NA,NA,NA,85.7,90.61,190,NA,NA,NA
2019,176,457,164,202,53,2,0.070221066,252,119,0.031607422,371,76.1,89.18,148,132,136,15
2020,NA,NA,178,NA,NA,NA,0.053535484,288,NA,NA,NA,103,125.8,162,NA,NA,NA
2021,NA,NA,185,NA,NA,NA,0.068403909,266,NA,NA,NA,74.6,80,169,NA,NA,NA
2022,NA,NA,186,NA,NA,NA,0.071866418,286,NA,NA,NA,66.8,82.69,170,NA,NA,NA
2023,256.4,401,181,163,41,2,0.138933983,230,114,0.05056283,344,68.9,105.2,165,179,261,37
2024,164,388.5,165,166,5,1,0.051566952,256,75,0.034666667,331,NA,NA,NA,NA,NA,NA
