Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,77.4,303,19,270,3,1,0.037823946,246,43,0.228571429,289,124,136,3,4,186,92
1952,25.2,435,179,109,41,2,0.051428571,222,66,0.146628481,288,333,354.4,163,22,79.8,93
1953,8,274,12,273,NA,NA,0.026045341,132,153,0.079365079,285,NA,NA,0,5,13.6,96
1954,27.5,200,7,206,NA,NA,0.058585859,85,128,0.052083333,213,NA,NA,0,4,9,168
1955,14,124,10,219,NA,NA,0.07826087,79,150,0.031746032,229,NA,NA,0,3,18,152
1956,27.7,227,13,268,1,1,0.049180328,257,24,0.265993266,281,NA,NA,0,4,14,100
1957,57.2,241,5,295,13,2,0.057324841,273,27,0.359525188,300,NA,NA,0,15,75.5,81
1958,NA,NA,NA,NA,1,1,NA,255,24,0.175438596,279,NA,NA,NA,8,32,102
1959,27.8,251,10,219,NA,NA,0.019607843,194,35,0.243243243,229,NA,NA,0,5,86,152
1960,NA,NA,NA,NA,NA,NA,NA,108,109,0.036697248,217,NA,NA,NA,2,4.7,164
1961,3,86,23,285,NA,NA,0.04,87,221,0.042992656,308,11,42.8,7,2,8,73
1962,85.6,316,37,257,20,6,0.029850746,269,25,0.167832168,294,52,63,21,7,20.5,87
1963,36.4,222,65,223,3,1,0.052389997,262,26,0.259615385,288,35,92,49,5,32.8,93
1964,72,205.5,39,258,23,3,0.037495339,269,28,0.25,297,115,155.6,23,5,11,84
1965,125,314.5,33,278,33,2,0.025253169,274,37,0.14508547,311,46,97.6,17,100,267.2,70
1966,37.6,291,1,268,NA,NA,0.033670034,243,26,0.196153846,269,NA,NA,0,6,40,112
1967,36.8,297,33,270,21,2,0.016949153,267,36,0.138060803,303,89,99.8,17,20,99.4,78
1968,NA,NA,NA,NA,8,1,NA,259,32,0.181818182,291,NA,NA,NA,36,92.4,90
1969,118.4,370,25,273,1,1,0.027710032,274,24,0.178571429,298,189,196.4,9,25.5,167.4,83
1970,NA,NA,NA,NA,NA,NA,NA,270,24,0.181818182,294,NA,NA,NA,14,39.5,87
1971,78.7,291,2,288,NA,NA,0.032051282,264,26,0.183673469,290,NA,NA,0,15,231,91
