Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2015,17.98910211,132.328101,204,115,NA,NA,0.065981535,250,69,0.070608261,319,158.5086068,182.9660736,188,15.60466328,73.90566169,62
2016,67.09467533,230.9862456,132,171,2,1,0.070965342,253,50,0.070783364,303,142.489507,151.9515374,116,31.76312072,125.9965204,78
2017,281.2866338,906.6021777,120,212,109,2,0.060032977,251,81,0.030086785,332,204.6100975,264.356138,104,356.350115,400.1694838,49
2018,NA,NA,NA,NA,NA,NA,NA,229,73,0.063556416,302,NA,NA,NA,32.8061649,156.2463495,79
2019,96.62359974,454.8567833,168,157,28,3,0.059254673,254,71,0.045480913,325,185.6679307,204.6199711,152,148.0721243,223.127148,56
2020,34.69494026,328.4821912,149,171,1,1,0.076627062,254,66,0.084963597,320,232.6898419,262.8752579,133,65.92166104,91.12203882,61
2021,NA,NA,NA,NA,NA,NA,NA,48,226,0.032131157,274,NA,NA,NA,6.341311145,60.63300354,107
2022,27.4027523,214.3801409,150,143,NA,NA,0.053275533,244,49,0.093254471,293,143.5678742,164.2226891,134,15.42718237,74.88242801,88
2023,275.9697719,831.6976824,182,119,59,1,0.059003475,236,65,0.038698222,301,NA,NA,NA,NA,NA,NA
