Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1983,3198,4760,145,165,122,5,0.04599042,254,56,0.038167939,310,3090,3346,129,3415,4463,71
1984,3580,6760,157,135,216,8,0.04206501,268,24,0.059844697,292,4090,4780,141,3350,4020,89
1985,NA,NA,NA,NA,109,7,NA,198,67,0.057142857,265,NA,NA,NA,1350,1960,116
1986,2590,6280,117,201,143,1,0.04176611,250,68,0.029761905,318,2290,2900,101,2990,3855,63
1987,NA,NA,NA,NA,NA,NA,NA,55,222,0.079664934,277,NA,NA,NA,677,857.8,104
1988,444,1060,21,229,NA,NA,0.128440367,213,37,0.13909889,250,694,827,5,136,530,131
1989,216,1500,132,137,NA,NA,0.165773229,228,41,0.16,269,690,920,116,189,331,112
1990,NA,NA,NA,NA,NA,NA,NA,184,83,0.108520552,267,NA,NA,NA,128,198,114
1991,199.8,758,11,269,NA,NA,0.078175896,252,28,0.112359551,280,NA,NA,0,106.5,434.1,101
1992,158.9,771,14,210,NA,NA,0.128641571,206,18,0.066666667,224,NA,NA,0,68,85,157
1993,185.7,1120,111,220,24,2,0.075893814,254,77,0.11382687,331,520,863.6,95,510,952.2,50
1994,578.2,1130,67,174,NA,NA,0.131188119,210,31,0.160736348,241,998,1250,51,79,285.2,140
1995,411,1600,92,211,12,1,0.101043138,258,45,0.16070567,303,550,826,76,144,608,78
1996,560,1750,98,185,17,2,0.108773377,249,34,0.133333333,283,935.5,1365,82,182.5,691,98
1997,1623,2935,60,224,75,3,0.032101993,260,24,0.091121495,284,984.5,1400,44,1735,2490,97
1998,2164,3860,139,153,75,3,0.035211268,266,26,0.148581427,292,2580,3028,123,1260,2379,89
1999,1710,2990,135,156,51,1,0.040602709,257,34,0.063063063,291,2430,2812,119,1160,1620,90
2000,759.4,1750,17,248,NA,NA,0.081761006,204,61,0.109151047,265,574,574,1,109,647,116
2001,110,1050,96,153,NA,NA,0.11691023,206,43,0.06870229,249,591.5,790.7,80,84,163,132
2002,185.2,940,10,267,NA,NA,0.066666667,205,72,0.10660288,277,NA,NA,0,81,474.8,104
2003,195,754,19,241,NA,NA,0.099346405,202,58,0.148201439,260,405,414.6,3,61,213.3,121
2004,112.6,739,24,263,NA,NA,0.045454545,184,103,0.083483607,287,445.5,525.5,8,59,296.5,94
2005,457.8,2850,143,149,49,2,0.072649573,256,36,0.093457537,292,951,1394,127,154.5,765.1,89
2006,946.2,1880,72,209,34,1,0.073526189,220,61,0.068645293,281,845,1175,56,199,1024,100
2007,127.6,1260,25,243,NA,NA,0.100775194,198,70,0.090914454,268,1170,1374,9,81,368,113
2008,486.2,987,35,252,NA,NA,0.118252841,258,29,0.096202532,287,581,632.2,19,101.5,647.3,94
2009,423,2020,119,176,1,1,0.082152975,264,31,0.063492063,295,919,1148,103,166,828.6,86
2010,187.6,1230,141,144,NA,NA,0.086021505,256,29,0.096386459,285,980,1192,125,178,321.4,96
2011,1110,2370,60,246,70,2,0.041216568,265,41,0.043859649,306,667.5,995.7,44,1435,2077,75
2012,NA,NA,NA,NA,NA,NA,NA,215,50,0.153660006,265,NA,NA,NA,137.5,447.5,116
2013,205.9,947,35,224,NA,NA,0.074578954,196,63,0.138787445,259,746,941.4,19,171,296,122
2014,NA,NA,NA,NA,NA,NA,NA,245,20,0.124072967,265,NA,NA,NA,191,584.2,116
2015,293.4,870.5,10,262,NA,NA,0.08,245,27,0.121212121,272,NA,NA,0,209,527.4,109
2016,590,1630,99,176,NA,NA,0.105726872,228,47,0.077586207,275,620,790,83,148.5,657.5,106
2017,1090,3770,81,211,99,2,0.061476442,197,95,0.023166023,292,985,1396,65,785,1600,89
2018,948.5,2105,1,266,NA,NA,0.035266497,200,67,0.079909315,267,NA,NA,0,165,504.6,114
2019,433,2000,106,183,12,1,0.073065885,248,41,0.111214953,289,864.5,1071,90,376,1140,92
2020,637,1450,16,277,NA,NA,0.055238095,183,110,0.065934066,293,NA,NA,0,346.5,581.1,88
2021,122.2,887,15,252,NA,NA,0.070564438,193,74,0.157894737,267,NA,NA,0,160,413.2,114
2022,134.2,725,20,313,NA,NA,0.085769785,210,123,0.114391144,333,702.5,729.3,4,244,406.6,48
2023,590,3050,149,143,47,2,0.076372315,235,57,0.052373159,292,701,1010,133,627.5,1066,89
2024,391.9,2090,104,182,2,1,0.038105709,217,69,0.076637159,286,NA,NA,NA,NA,NA,NA
