Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2002,11,47,153,131,None,None,0.091319444,248,36,0.102631579,284,12,15,137,7,11,97
2003,6.8,19,108,209,None,None,0.09375,270,47,0.125,317,12,14,92,6,7,64
2004,15,33,122,157,1,1,0.0625,181,98,0.080882353,279,11.5,15.5,106,8,10,102
2005,19.4,83,143,165,23,6,0.084337349,240,68,0.074074074,308,23,33.4,127,13,15.9,73
2006,24.4,95,141,155,53,7,0.091549296,236,60,0.068337484,296,23,29,125,17,25.1,85
2007,12,35,121,163,None,None,0.095894608,172,112,0.077935223,284,19,25,105,8,13,97
2008,16,54.5,152,172,9,4,0.115245009,252,72,0.066666667,324,12,20,136,14,17,57
2009,18,67.5,141,170,2,2,0.08,240,71,0.076095947,311,17,24,125,13,19.4,70
2010,16,47.5,152,164,3,2,0.101449275,258,58,0.068055556,316,17,19,136,12,15,65
2011,30,143,151,181,90,6,0.100228311,265,67,0.067424242,332,24,38,135,21,26.3,49
2012,16,37,132,143,None,None,0.094235033,219,56,0.073170732,275,21,26,116,9,13,106
2013,14,22,102,203,None,None,0.064516129,234,71,0.081666667,305,16,24,86,11,14,76
2014,14,36,122,167,None,None,0.080032013,243,46,0.106203008,289,12,14,106,14,20,92
2015,17,22,102,172,None,None,0.08989899,243,31,0.071428571,274,15,18,86,10,15,107
2016,14,36,116,181,None,None,0.076923077,232,65,0.071428571,297,12,16,100,9,15,84
2017,22,82,114,174,13,6,0.090909091,248,40,0.052631579,288,16,23,98,15,18.9,93
2018,9,23,103,193,1,1,0.085714286,227,69,0.076923077,296,16,22.4,87,8,13,85
2019,17,80,159,162,14,5,0.086956522,233,88,0.066005803,321,14,20,143,17,21,60
2020,11,31.5,132,196,None,None,0.06557377,247,81,0.093073593,328,21,25,116,8,10,53
2021,8,19,101,255,None,None,0.088888889,233,123,0.1,356,10,13.6,85,8.5,21.1,25
2022,10,25,125,215,None,None,0.067509107,245,95,0.1,340,17,23,109,11.5,13,41
2023,34,129,167,132,61,2,0.145833333,233,66,0.049770955,299,18,24,151,20,27,82
2024,20,78,137,168,3,2,0.081081081,236,69,0.0625,305,None,None,None,None,None,None
