Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,140,255.5,165,128,44,4,0.076388889,236,57,0.018604651,293,121,135,149,150,170,88
1952,174.2,270,175,123,42,1,0.094097393,220,78,0.02828619,298,103,123,159,148,182.2,83
1953,103.2,129,168,157,NA,NA,0.052083333,257,68,0.017095266,325,106,127,152,95,101,56
1954,87,104,161,132,NA,NA,0.055555556,210,83,0.020204082,293,83,90,145,74,81,88
1955,89.2,128,178,119,1,1,0.117391304,224,73,0.026201373,297,66,70,162,80,87,84
1956,126.1,181,163,148,13,1,0.077604568,213,98,0.018241295,311,87,123,147,107,122,70
1957,109,157,148,175,3,2,0.08210073,235,88,0.020979021,323,88,100,132,113,122,58
1958,115,154.5,179,124,5,2,0.07192623,236,67,0.01971951,303,96,109,163,100,111,78
1959,81,104,156,143,NA,NA,0.097345465,213,86,0.024096386,299,85,98.2,140,79,81,82
1960,68,94,149,199,NA,NA,0.074463119,229,119,0.02739726,348,68,75,133,64,66,33
1961,NA,NA,NA,NA,NA,NA,NA,232,70,0.039215686,302,NA,NA,NA,47,53,79
1962,90,164,164,117,16,1,0.095731707,213,68,0.031159024,281,51,60,148,94,104,100
1963,71.8,109,163,123,NA,NA,0.080645161,225,61,0.027354829,286,73,81,147,66,77,95
1964,94,138,175,135,5,1,0.116984127,233,77,0.038674033,310,58,66,159,81,92,71
1965,157,238,172,112,25,2,0.084507042,233,51,0.028991597,284,75,102,156,129,155,97
1966,88,117,154,166,NA,NA,0.070588235,226,94,0.019047619,320,85,107.6,138,82,86,61
1967,124,187,179,144,18,2,0.062996032,237,86,0.021052632,323,75,82,163,115,117,58
1968,97.4,128,148,158,NA,NA,0.050632911,228,78,0.027896662,306,92,108.8,132,100,111,75
1969,105,153,166,164,3,1,0.099498839,222,108,0.017730496,330,86,96.2,150,98,103,51
1970,105,126,182,116,NA,NA,0.096774194,235,63,0.018348624,298,86,94,166,94,107,83
1971,192.3,299.5,165,162,66,1,0.060969134,231,96,0.019725784,327,96,130,149,172,183,54
1972,168,254,140,207,60,1,0.047439889,233,114,0.013621324,347,132,153,124,157,160.4,34
1973,138,181,182,101,6,1,0.098265896,227,56,0.021052632,283,115,139,166,119,138,98
1974,135.6,190,146,189,23,1,0.082051282,224,111,0.015038444,335,94,100,130,124,130,46
1975,130,182,186,152,25,3,0.126315789,240,98,0.015504808,338,105,117,170,124,128,43
1976,106,147,166,173,13,3,0.123046875,223,116,0.022319947,339,99,124,150,97,99,42
1977,NA,NA,NA,NA,NA,NA,NA,240,66,0.033333333,306,NA,NA,NA,50,56,75
1978,78,157,144,166,3,2,0.063460418,231,79,0.022900763,310,56,63,128,90,95.2,71
1979,82,119,152,187,1,1,0.056225806,233,106,0.023645504,339,76,84,136,74,77,42
1980,97,166,155,161,24,2,0.07668784,250,66,0.018867925,316,77,106.4,139,112,121.8,65
1981,68,83,129,196,NA,NA,0.033333333,242,83,0.022611789,325,82,99.6,113,62,66,56
1982,142,246,155,137,37,2,0.100195095,221,71,0.024523161,292,64,96,139,146,163.6,89
1983,178.6,301,187,119,39,2,0.091790635,244,62,0.023538939,306,118,135,171,190,222.1,75
1984,249.4,372.5,180,138,67,1,0.075834868,233,85,0.022821114,318,150.5,169,164,211,234,63
1985,164,205,160,143,25,2,0.063378396,219,84,0.011846014,303,153,181,144,150,160,78
1986,189.2,318,128,224,87,4,0.053638941,236,116,0.011829837,352,116,129.8,112,171.5,175.3,29
1987,NA,NA,NA,NA,NA,NA,NA,204,112,0.010526316,316,NA,NA,NA,89,91,65
1988,66,78,175,158,NA,NA,0.036144578,234,99,0.014705882,333,80,86,159,62,63,48
1989,74.3,100,149,144,NA,NA,0.066666667,207,86,0.0234375,293,57,59,133,68,75,88
1990,49,63,143,171,NA,NA,0.028370221,214,100,0.020408163,314,63,66,127,44,47,67
1991,60.2,83,176,153,1,1,0.069776876,250,79,0.022800881,329,44,49.1,160,60,65,52
1992,NA,NA,NA,NA,NA,NA,NA,217,96,0.021276596,313,NA,NA,NA,41,42,68
1993,100,199,151,151,5,2,0.06,231,71,0.020547945,302,44,52.6,135,92,105,79
1994,74.3,105,155,144,NA,NA,0.05,209,90,0.018292683,299,72,77,139,63,68,82
1995,92.5,152,138,206,NA,NA,0.036144578,238,106,0.015455305,344,62,68,122,104,106,37
1996,112.4,164,155,175,2,1,0.055555556,234,96,0.015822389,330,91,100,139,104,106,51
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,214,114,0.015873016,328,NA,NA,NA,56.35,62,53
2002,61.07,75.3,160,158,NA,NA,0.03960396,237,81,0.014024768,318,56,59.94,144,58.15,61.39,63
2003,54.06,81.1,152,127,NA,NA,0.05,232,47,0.020532065,279,54,58.05,136,48.8,51.7,102
2004,48.26,67.5,150,169,NA,NA,0.050705601,194,125,0.01504788,319,44.25,46.1,134,45.3,47.5,62
2005,102,162,167,141,12,3,0.107018914,226,82,0.020204082,308,52.4,62.6,151,90.85,103,73
2006,131.6,210,166,123,25,2,0.108,215,74,0.01953602,289,79.95,102.1,150,103,130,92
2007,67.1,80.95,134,172,NA,NA,0.035409322,192,114,0.014789534,306,81.8,92.59,118,60.75,62.2,75
2008,80.96,110,177,129,NA,NA,0.095833333,236,70,0.0191427,306,62,66.7,161,79.4,85,75
2009,99.02,134,160,143,3,1,0.083333333,221,82,0.018518519,303,66.75,74.77,144,89.9,96.68,78
2010,67.65,81,180,176,NA,NA,0.041076487,244,112,0.0125,356,70.05,81.42,164,63.7,66.24,25
2011,188.3,271,167,194,68,3,0.13028163,234,127,0.010309278,361,73.3,93.4,151,175,179,20
2012,NA,NA,NA,NA,NA,NA,NA,213,97,0.009708738,310,NA,NA,NA,73.3,79,71
2013,NA,NA,NA,NA,NA,NA,NA,227,92,0.008591471,319,NA,NA,NA,53.6,55.6,62
2014,77.55,92.45,144,146,NA,NA,0.04717722,225,65,0.014957265,290,51.25,53.9,128,70,76.31,91
2015,56.69,62.85,160,174,NA,NA,0.015230395,244,90,0.008912656,334,55.4,62,144,53.3,55.35,47
2016,75.54,96.5,150,155,NA,NA,0.060112094,225,80,0.009259259,305,50.7,54.43,134,72.15,77,76
2017,159.8,224,120,219,63,3,0.084822703,223,116,0.006289308,339,67.9,80.35,104,150,156,42
2018,82.88,105,155,167,NA,NA,0.038182346,214,108,0.011899537,322,104,130.2,139,75,78,59
2019,112.5,151,165,176,8,1,0.039637599,211,130,0.013059542,341,69.8,73.5,149,104,109,40
2020,87.8,115,147,159,NA,NA,0.047058824,217,89,0.020512821,306,86.5,95.8,131,77,85.6,75
2021,55,65,4,282,NA,NA,0.016666667,233,53,0.017392619,286,NA,NA,0,48,52,95
2022,56,79,155,137,NA,NA,0.042553191,232,60,0.016001024,292,51,53,139,49,55,89
2023,141.6,228,181,105,33,1,0.100131119,230,56,0.026562059,286,50,61,165,126,146,95
2024,112.5,149,160,146,8,2,0.094298246,212,94,0.015873016,306,92.05,99.3,144,97,106.6,75
