Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,80.7,262,163,128,19,5,0.111111111,235,56,0.036764706,291,56,87,147,52,66,90
1952,89,323,174,115,26,3,0.135680751,220,69,0.045739825,289,50,53,158,56,75,92
1953,58.8,125,167,155,NA,NA,0.135142522,244,78,0.034095312,322,49,54,151,43,45,59
1954,50.5,85,169,116,NA,NA,0.084517045,223,62,0.037735849,285,43,48,153,36,41,96
1955,53,148,175,114,NA,NA,0.133858268,228,61,0.038961039,289,36,46.2,159,38,45,92
1956,60,204,162,128,NA,NA,0.116219397,236,54,0.038461538,290,54,92,146,42,53,91
1957,63.9,177,177,134,10,3,0.066298343,244,67,0.036751752,311,42,84,161,44,49,70
1958,58.9,121,165,120,2,1,0.107478632,235,50,0.043478261,285,43,64.4,149,38,44,96
1959,39,82,160,139,NA,NA,0.103725782,229,70,0.035087719,299,40,42.7,144,34,41,82
1960,39.7,109.5,150,138,NA,NA,0.142857143,227,61,0.038518519,288,35,39,134,33,35,93
1961,27,51.5,155,128,NA,NA,0.135135135,220,63,0.038461538,283,32,35,139,25,27.4,98
1962,55.6,189,165,124,11,3,0.088888889,221,68,0.04,289,32,61.6,149,37,44,92
1963,49,130,164,124,NA,NA,0.081542818,233,55,0.046979866,288,34,39.3,148,37,41,93
1964,57.9,173,175,130,10,1,0.144421272,236,69,0.042105263,305,33,40,159,40,47,76
1965,69,220,173,134,20,3,0.094059406,235,72,0.037037037,307,54,83.2,157,55,60.8,74
1966,53.4,133,152,152,NA,NA,0.089572193,227,77,0.029411765,304,27,51.5,136,39,62,77
1967,85.2,130,154,132,10,1,0.081997588,240,46,0.054216867,286,37,45,138,92.5,105,95
1968,61,101,168,163,NA,NA,0.095964539,258,73,0.042372881,331,27,51.9,152,77.5,104.1,50
1969,84.6,300,167,109,11,2,0.088888889,227,49,0.050724638,276,36,48,151,85,99.7,105
1970,85,170,196,82,9,1,0.065217391,241,37,0.0485774,278,46,66,180,82,92,103
1971,82.4,206,94,193,4,1,0.063509632,243,44,0.03968254,287,25,35,78,63,104,94
1972,106.4,313,133,145,5,1,0.061538462,238,40,0.043824701,278,56,101.4,117,94,104.8,103
1973,84,203,178,95,7,1,0.092467065,228,45,0.042768883,273,52,69,162,85,98,108
