Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2002,79.4,133,44,322,90,4,0.019607843,273,105,0.04178273,378,94.2,96.9,28,30.5,39.46,15
2003,NA,NA,203,NA,90,3,0.054239798,308,NA,NA,NA,74.3,77.4,187,NA,NA,NA
2004,60.5,70.6,25,255,1,1,0.017885702,237,43,0.037406484,280,32.7,32.94,9,85.4,91.5,101
2005,82.16,113,183,103,12,1,0.066666667,237,49,0.030150754,286,71.6,81.64,167,83.45,88.4,95
2006,86.76,143,172,110,33,2,0.063261881,220,62,0.038278388,282,68.1,71.25,156,91.5,99.26,99
2007,72.5,78,166,139,6,1,0.014698427,276,29,0.036905813,305,64.7,72.62,150,76.1,79.56,76
2008,77.32,88.7,173,193,NA,NA,0.04,237,129,0.017323994,366,69.7,73.6,157,73.7,76.08,15
2009,75.03,120.5,179,88,11,2,0.057654704,221,46,0.029745848,267,63,73.58,163,79.4,84.98,114
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,75.8,86.04,314
2011,97.22,195,188,123,50,5,0.145513848,240,71,0.028436658,311,68.75,81.06,172,83.4,88.5,70
2012,NA,NA,170,NA,NA,NA,0.036549708,317,NA,NA,NA,48.65,55.2,154,NA,NA,NA
2013,57.38,76.4,158,115,NA,NA,0.012152778,233,40,0.016049351,273,56.3,59.1,142,80,87.84,108
2014,61.7,81.65,157,209,NA,NA,0.018656716,278,100,0.017449547,378,60.1,64,141,58.2,59.4,15
2015,NA,NA,178,NA,NA,NA,0.029256274,234,NA,NA,NA,63.1,65.99,162,NA,NA,NA
2016,39.6,48.6,173,193,NA,NA,0.022177419,240,138,0.025083612,378,38.3,41.6,157,26.2,26.66,15
2017,45.41,86.1,133,202,9,2,0.055102557,223,112,0.026548673,335,32.8,36.44,117,53,128.4,46
2018,NA,NA,188,NA,NA,NA,0.026381462,271,NA,NA,NA,41.7,45.3,172,NA,NA,NA
2019,70.5,115,174,136,37,4,0.057142857,252,58,0.021850802,310,38.8,41,158,71.9,83.15,71
2020,NA,NA,169,NA,NA,NA,0.016908213,234,NA,NA,NA,34.8,61.06,153,NA,NA,NA
2021,31.26,46,168,198,NA,NA,0.020576219,325,52,0.019480041,377,30.1,31.2,152,28.7,29.86,15
2022,39.24,58.7,166,200,NA,NA,0.02014937,235,143,0.018933379,378,29,30.61,150,28.4,29.52,15
2023,69.13,121.5,182,114,38,1,0.15576324,231,65,0.03125,296,32.4,39.05,166,60.75,69.89,85
2024,60.46,95.8,163,137,4,1,0.030201342,234,66,0.021406728,300,NA,NA,NA,NA,NA,NA
