Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2010,2.2,35,163,123,NA,NA,0.078947368,239,47,0.242857143,286,30.3,32.28,147,2,7,95
2011,37,146.5,156,166,99,2,0.130890052,241,81,0.064978903,322,32.95,44.15,140,20,38,59
2012,NA,NA,NA,NA,NA,NA,NA,187,63,0.133928571,250,NA,NA,NA,3,13.7,131
2013,NA,NA,NA,NA,NA,NA,NA,222,57,0.118823529,279,NA,NA,NA,12.3,20.8,102
2014,15,30,123,171,NA,NA,0.076923077,235,59,0.107142857,294,23.6,26,107,15,22,87
2015,13,21.8,28,255,NA,NA,0.047619048,234,49,0.08479021,283,11.35,14.19,12,13.8,17.4,98
2016,15.22,21,58,223,NA,NA,0.060240964,234,47,0.083333333,281,11.1,15.99,42,13.95,20.52,100
2017,30.06,94,119,167,70,2,0.098654709,228,58,0.072072072,286,21.2,26.68,103,24,30,95
2018,18.06,30.5,170,134,3,2,0.068573668,244,60,0.109090909,304,29.6,34.5,154,13.6,21.1,77
2019,27.8,139,166,129,68,2,0.110293666,232,63,0.098076923,295,20.3,26.11,150,26,36.86,86
2020,24.95,34.5,132,140,1,1,0.0625,239,33,0.112001791,272,28.95,30.85,116,21,26.7,109
2021,12,19,25,341,2,1,0.053053757,238,129,0.085144928,367,14.9,20.02,9,10.8,13.68,15
2022,13.92,28,137,147,NA,NA,0.076923077,234,50,0.088235294,284,12.1,20,121,14.2,18.6,97
2023,27.2,133,183,105,58,4,0.193999457,230,58,0.070592099,288,18,28,167,21.95,28.04,93
2024,26.6,98,162,127,46,3,0.13559322,211,78,0.074712644,289,NA,NA,NA,NA,NA,NA
