Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1954,15,41,179,103,NA,NA,0.281609195,237,45,0.124228395,282,12,32,163,17,18,99
1955,19.4,98,186,105,NA,NA,0.293650794,254,37,0.094736842,291,13,15,170,20,25,90
1956,23,262,184,119,5,1,0.095238095,245,58,0.072100313,303,17,38.6,168,17.5,25.3,78
1957,23,275,204,101,2,1,0.140417457,253,52,0.09375,305,15,27,188,22,41,76
1958,18,239,186,106,7,1,0.18161435,244,48,0.092970522,292,13,28.2,170,16,28.6,89
1959,16,116,184,108,NA,NA,0.157894737,262,30,0.130434783,292,16,19,168,19,32,89
1960,18,88,165,116,NA,NA,0.276551405,234,47,0.079458042,281,13,18.2,149,19,28.2,100
1961,15.4,21,147,145,NA,NA,0.179464286,244,48,0.084101382,292,14,17,131,16,17,89
1962,21,265,169,133,1,1,0.203349282,224,78,0.087628866,302,14,16,153,28,45,79
1963,22,215.5,204,86,NA,NA,0.102112676,244,46,0.088131732,290,22,42,188,22,35.1,91
1964,23,105,177,134,NA,NA,0.166666667,254,57,0.075604396,311,16,18,161,33,37,70
1965,49.8,296.5,187,140,15,2,0.099756691,259,68,0.05,327,26,43,171,20,33.4,54
1966,30,124.5,162,116,NA,NA,0.161458333,227,51,0.074175824,278,21,27.5,146,19,30.9,103
1967,26,297.5,209,106,1,1,0.111386139,266,49,0.076923077,315,23,36,193,36,50,66
1968,28,186,205,101,NA,NA,0.246268657,256,50,0.0625,306,30,56.2,189,23,44.2,75
1969,83,270,172,167,NA,NA,0.0625,235,104,0.033670034,339,32,33,156,72,76,42
1970,143.6,283,205,123,15,2,0.113043478,255,73,0.034090909,328,59,86,189,135.5,146,53
1971,265.4,540,168,159,50,2,0.060137753,265,62,0.026993906,327,131,155,152,243,290,54
1972,215,415,148,180,39,4,0.058790594,252,76,0.025641026,328,155,207,132,199,229.4,53
1973,142.6,210,187,139,1,1,0.082713906,241,85,0.032374101,326,135,181,171,133,145,55
1974,181,395,188,150,31,2,0.079589735,262,76,0.031446541,338,111,145,172,159,168.8,43
1975,166,407,197,146,34,3,0.065919106,281,62,0.031117808,343,111,141,181,165,169,38
1976,156,294,180,157,6,2,0.071881607,241,96,0.020348837,337,133,169,164,141,152,44
1977,NA,NA,NA,NA,NA,NA,NA,249,64,0.023542446,313,NA,NA,NA,67,71.4,68
1978,162.4,342,165,169,13,1,0.070863811,262,72,0.024896266,334,75,84,149,149,160,47
1979,111,183.5,184,178,2,1,0.056603774,243,119,0.026845638,362,109,129,168,90,90,19
1980,157,498,188,146,7,3,0.064506786,260,74,0.02681447,334,104,116,172,147,163,47
1981,103,178,189,147,NA,NA,0.049450549,249,87,0.031007752,336,105,125,173,91,111,45
1982,215.6,572,185,153,52,2,0.050045458,263,75,0.023809524,338,91,137.4,169,201.5,245.5,43
1983,257,410,193,155,43,1,0.068100358,265,83,0.0270759,348,158,185,177,247.5,260,33
1984,259.4,520,182,158,58,1,0.076233184,267,73,0.026069361,340,171,229,166,245,260,41
1985,175,364,178,147,3,1,0.069620253,242,83,0.026315789,325,169,221,162,167,173,56
1986,311.5,617,149,176,53,3,0.051100052,255,70,0.026548673,325,135,167.8,133,264,287.6,56
1987,104,146,178,179,NA,NA,0.076973139,236,121,0.019090909,357,158,215.9,162,95,96,24
1988,97,153,180,153,NA,NA,0.081718132,241,92,0.027777778,333,95.5,103,164,82,88,48
1989,143,286,171,161,NA,NA,0.056,256,76,0.026315789,332,82,96.6,155,124.5,137,49
1990,89,142,165,178,NA,NA,0.031413613,258,85,0.024193548,343,95,114.2,149,77,79.4,38
