metric,p10,p25,p50,p75,p90
HF_Mag_10,60.374,74.92,97.4,130.8,167.2
HF_Mag_50,79.39,102,147,188.5,255.2
HF_Tim,140.6,149.5,160,170,179.8
HF_Dur,119.8,136,153,172.5,195.6
Peak_Dur_2,2.5,5,17,37.5,64.5
Peak_Fre_2,1,1,2,2,3
HFA_ROC,0.036552132,0.05,0.069776876,0.09419782,0.10565415
HFR_Tim,211.9,217.5,228.5,234.75,240.2
HFR_Dur,60.9,70.25,85.5,99.75,114.2
HFR_ROC,0.011699485,0.015040803,0.01909516,0.022816056,0.0274472
SLF_Tim,288.7,299,310,327.75,339.2
WLF_Mag_50,51.025,62,76.5,92.0375,114.1
WLF_Mag_90,58.145,66.175,92.995,108.5,130.18
WLF_Dur,124.6,133.5,144,154,163.8
SLF_Mag_50,49.9,63.775,89.95,112.75,150
SLF_Mag_90,55.315,66.68,95.94,122,164.24
SLF_Dur,41.8,53.25,71,82,92.3
