metric,p10,p25,p50,p75,p90
HF_Mag_10,5.048,6.62,8,11,11.768
HF_Mag_50,9,10,14,23.7,27.2
HF_Tim,94.8,112,149,163,172.2
HF_Dur,141,148,168,182,251.6
Peak_Dur_2,1.3,5.75,12,29.25,37.6
Peak_Fre_2,1,1,2,2,3
HFA_ROC,0.05299785,0.064718163,0.076076248,0.08989899,0.110211302
HFR_Tim,232,237,244,255,261.8
HFR_Dur,39,50,64,86.5,109.8
HFR_ROC,0.050470401,0.055816455,0.06097561,0.0825,0.094211367
SLF_Tim,284.6,302.5,322,331.5,343.2
WLF_Mag_50,5.37,6.95,7.8,9,10
WLF_Mag_90,8.03,9.07,10.9,11.7,13.656
WLF_Dur,78.6,96,133,148,156.9
SLF_Mag_50,4.725,6,6.9,8.9875,10
SLF_Mag_90,6.275,8,9.215,11.0525,12
SLF_Dur,37.5,48.25,58,78.75,97
