metric,p10,p25,p50,p75,p90
HF_Mag_10,10.3,15.8,24.35,38.4,52.82
HF_Mag_50,39.6,56.625,99.75,163.75,202.5
HF_Tim,141,151.5,169,180.75,185.7
HF_Dur,113.3,121.25,133,146.5,159.4
Peak_Dur_2,2.6,7,10,22,35.2
Peak_Fre_2,1,1,2,3,3
HFA_ROC,0.091062553,0.103901997,0.127809306,0.156299841,0.176469419
HFR_Tim,226.3,232.25,240.5,249.75,257
HFR_Dur,43.3,50,56.5,69.25,76.7
HFR_ROC,0.05636451,0.063394642,0.07902098,0.094924242,0.107254623
SLF_Tim,283,290.25,300.5,309,317
WLF_Mag_50,13.2,16,21,26,32
WLF_Mag_90,18,22,31,37,48.88
WLF_Dur,125,135,153,165,169.8
SLF_Mag_50,6.06,11,18,28,39
SLF_Mag_90,12.148,18,26,42.65,58.92
SLF_Dur,64,72,80,91,98
