metric,p10,p25,p50,p75,p90
HF_Mag_10,9.2,11.5,16,18.7,23.92
HF_Mag_50,22,28.25,37,79,92.6
HF_Tim,102.2,115,132,147,152.8
HF_Dur,145.4,162.5,170,187,207.8
Peak_Dur_2,1.1,2.75,11,30.5,60.2
Peak_Fre_2,1.1,2,3,6,6
HFA_ROC,0.065960837,0.080016007,0.088888889,0.093992517,0.101205082
HFR_Tim,220.6,233,240,247.5,256.8
HFR_Dur,41.2,57,68,76.5,97.4
HFR_ROC,0.063201161,0.067739899,0.074074074,0.08737013,0.102105263
SLF_Tim,280,288.5,305,319,331.2
WLF_Mag_50,12,12,16,18.75,22.8
WLF_Mag_90,14.1,16.5,22.7,24.75,28.7
WLF_Dur,86.1,98.5,112.5,133,136.9
SLF_Mag_50,8,8.125,11.25,14,17
SLF_Mag_90,10.1,13,15,19.85,24.7
SLF_Dur,49.4,61,79,92.75,101.5
