metric,p10,p25,p50,p75,p90
HF_Mag_10,39.8,66.4,110.5,128.6,134.6
HF_Mag_50,111.5,135,150.5,170,197.5
HF_Tim,17.2,51,162,219,238
HF_Dur,81,113,178,251,278
Peak_Dur_2,1.6,4,18,71,120.4
Peak_Fre_2,1,1,3,7,11.4
HFA_ROC,0.017094017,0.020774374,0.026098589,0.036078528,0.056851168
HFR_Tim,18.1,148.75,256.5,291.5,313.8
HFR_Dur,13,18,31,66.5,168
HFR_ROC,0.014875028,0.020161762,0.028846154,0.041748366,0.090909091
SLF_Tim,171.5,215.25,257,325,340
WLF_Mag_50,99.9,111,121,153,174.7
WLF_Mag_90,114.6,122.1,143.2,168,190.2
WLF_Dur,0.9,34.75,145,198.5,216.9
SLF_Mag_50,114.4,131,148,162,179.7
SLF_Mag_90,126.32,151,168,184,208.44
SLF_Dur,41,56,122,165,202.8
