metric,p10,p25,p50,p75,p90
HF_Mag_10,109.6,122.325,149.75,176,219.99
HF_Mag_50,265.7,306,363.5,403.75,477.5
HF_Tim,133.1,157,173.5,191.75,200.5
HF_Dur,145.2,159.75,178,198,212
Peak_Dur_2,4,8,17,41,53.8
Peak_Fre_2,1,1,2,3,4
HFA_ROC,0.037766868,0.048022343,0.063156823,0.077355871,0.098010975
HFR_Tim,239,269.25,287.5,317.5,324.4
HFR_Dur,27,40,65,79,118.7
HFR_ROC,0.035372746,0.043984652,0.057948922,0.070395683,0.077978884
SLF_Tim,333.8,348,353.5,372,378
WLF_Mag_50,57,69,84,113,132
WLF_Mag_90,70,88.03,105,132.75,155
WLF_Dur,115.4,140,158,176,185
SLF_Mag_50,77.1,91.75,128,154,220.1
SLF_Mag_90,100.28,135.7,166.8,227.15,309.34
SLF_Dur,15,15,27,32.5,41.8
