metric,p10,p25,p50,p75,p90
HF_Mag_10,39.456,57.38,69.13,77.32,84
HF_Mag_50,54.66,76.4,88.7,120.5,137
HF_Tim,135.4,163.75,171,178.75,187.5
HF_Dur,107.2,115,139,200,227.4
Peak_Dur_2,4.2,8.25,22.5,41,86
Peak_Fre_2,1,1,2,3.25,4
HFA_ROC,0.017005962,0.019743225,0.029728808,0.056632782,0.066326188
HFR_Tim,223.8,234,237,272.5,305
HFR_Dur,41.8,49,65,105,132.6
HFR_ROC,0.017399326,0.019480041,0.026548673,0.03125,0.037755246
SLF_Tim,271.2,283,307.5,374.25,378
WLF_Mag_50,32.4,34.8,56.3,68.1,71.6
WLF_Mag_90,32.94,41,61.06,73.58,81.06
WLF_Dur,117,150,156,163,172
SLF_Mag_50,28.58,53,73.7,80,84.23
SLF_Mag_90,29.724,59.4,83.15,88.4,94.604
SLF_Dur,15,15,71,99,110.4
