metric,p10,p25,p50,p75,p90
HF_Mag_10,12.2,13.92,18.06,27.2,29.608
HF_Mag_50,21.16,28,34.5,98,137.8
HF_Tim,34,119,137,163,169.2
HF_Dur,123.8,129,147,171,248.6
Peak_Dur_2,1.7,2.75,52,68.5,78.7
Peak_Fre_2,1,1.75,2,2.25,3.3
HFA_ROC,0.054491198,0.0625,0.076923077,0.110293666,0.134652586
HFR_Tim,215.4,229,234,238.5,240.2
HFR_Dur,47,49.5,58,63,79.8
HFR_ROC,0.071184088,0.079022989,0.088235294,0.11054635,0.127886554
SLF_Tim,274.8,282,286,294.5,314.8
WLF_Mag_50,11.425,14.2,20.75,29.1125,30.23
WLF_Mag_90,16.391,20.015,26.395,31.2075,34.278
WLF_Dur,15,87.75,118.5,147.75,153.6
SLF_Mag_50,5.34,12.625,14.075,20.75,23.385
SLF_Mag_90,13.686,17.7,20.95,27.705,34.802
SLF_Dur,64.4,86.25,95,99.5,106.9
