metric,p10,p25,p50,p75,p90
HF_Mag_10,145.73,219.55,336.85,455.6,577.25
HF_Mag_50,319.5,445.125,678,1053.75,1612.5
HF_Tim,107.2,128,144,162,173.6
HF_Dur,131.2,145.5,176.5,217.5,241.8
Peak_Dur_2,3.2,7,21,37,65
Peak_Fre_2,1,1,2,3,4
HFA_ROC,0.049211809,0.059747706,0.070588235,0.088131533,0.111261008
HFR_Tim,221,230,252.5,269.5,309.5
HFR_Dur,36.2,44,62,104,146.2
HFR_ROC,0.036731472,0.040032143,0.053140446,0.060606061,0.071496614
SLF_Tim,288.4,295,313,360,374
WLF_Mag_50,55.19,66,95.25,237.75,306.75
WLF_Mag_90,73,101.1,185.25,314.75,472.78
WLF_Dur,90.6,111.5,128.5,146,157.8
SLF_Mag_50,178.85,212.5,351.5,429.25,472.7
SLF_Mag_90,205,256.875,416.45,509.95,606.18
SLF_Dur,15,20,67.5,84.75,92.8
