metric,p10,p25,p50,p75,p90
HF_Mag_10,77.192,98.09,115.8,139.05,160.98
HF_Mag_50,148.1,218.375,291.75,420.25,523.1
HF_Tim,174,180,188,195,205
HF_Dur,102.3,108.5,122,137.5,149.2
Peak_Dur_2,2,3,6,8,14
Peak_Fre_2,1,1,1,2,3
HFA_ROC,0.077686989,0.090475935,0.101080961,0.117586811,0.137089667
HFR_Tim,242.3,249,255,263,269
HFR_Dur,38,43.25,52,62.75,81.4
HFR_ROC,0.040635998,0.046014732,0.051510785,0.057566617,0.064595467
SLF_Tim,287.6,296.25,312,323,338.7
WLF_Mag_50,43.36,49,55,65,71.84
WLF_Mag_90,53.2,62.4,73.8,93.8,114.68
WLF_Dur,158,164,172,179,189
SLF_Mag_50,55.8,69.9,81,112,132.1
SLF_Mag_90,75.82,97.9,120.8,141.7,175.64
SLF_Dur,42.2,58,69,85,93.6
