metric,p10,p25,p50,p75,p90
HF_Mag_10,38.312,69.26,106.8,195.2,263
HF_Mag_50,290.6,406,453,534,608.5
HF_Tim,134.8,168,198,212.75,220
HF_Dur,124,141,156,210,235.4
Peak_Dur_2,10.1,16.5,25.5,33.5,54.6
Peak_Fre_2,1,2,2,3.75,4
HFA_ROC,0.031221767,0.050700527,0.064665127,0.096472236,0.117276175
HFR_Tim,255.4,265.5,278,304.5,321.4
HFR_Dur,41.3,47.75,64.5,96.5,115.3
HFR_ROC,0.018661449,0.029465,0.037403898,0.057051041,0.068615812
SLF_Tim,311.8,331,353,372,374.2
WLF_Mag_50,0.7,0.9,1,38.5,140
WLF_Mag_90,1,1.355,22.4,167.55,223.4
WLF_Dur,118.2,157.5,183,197.5,204
SLF_Mag_50,97.8,154.5,260,347.5,409.2
SLF_Mag_90,116.44,228,323,428.2,516.12
SLF_Dur,15,15,29,52,69.4
