metric,p10,p25,p50,p75,p90
HF_Mag_10,5.237,6.676,8.681,10.45,15.37
HF_Mag_50,12.6,15.8,25.7,42.95,69.9
HF_Tim,102,109,135,152,159
HF_Dur,145,159,175,188,192
Peak_Dur_2,1,1.5,9,29,59
Peak_Fre_2,1,1.5,3,4.5,6
HFA_ROC,0.066666667,0.069863014,0.090443465,0.104196162,0.123936817
HFR_Tim,229,237,245,255,265
HFR_Dur,42,46,54,63,65
HFR_ROC,0.049590164,0.056862745,0.0625,0.082644628,0.097619048
SLF_Tim,286,292,299,316,325
WLF_Mag_50,6.95,7.4325,9.6875,11.925,12.03
WLF_Mag_90,9.3355,10.975,12.54,14.22,16.416
WLF_Dur,85.8,91.5,113.5,136.5,143.6
SLF_Mag_50,4.983,5.2625,6.38,8.5825,11.655
SLF_Mag_90,7.126,7.8735,9,11.185,13.726
SLF_Dur,55.7,63.75,82.5,89.75,95.3
