metric,p10,p25,p50,p75,p90
HF_Mag_10,69.16,77.17,101.8,151.875,195.42
HF_Mag_50,133.2,173,205,320.25,521.95
HF_Tim,127.7,168.25,180,203,219.3
HF_Dur,90.6,110.25,131.5,174.25,187.2
Peak_Dur_2,2,5,7,18,36
Peak_Fre_2,1,1,1,2,2
HFA_ROC,0.013584587,0.018679422,0.032467532,0.072003464,0.108489034
HFR_Tim,253,260,270,307,326
HFR_Dur,25,28.5,37,46.5,85
HFR_ROC,0.01625,0.027584306,0.049587327,0.084769643,0.111111111
SLF_Tim,279.2,292,299,329.25,366.8
WLF_Mag_50,25.26,26.525,63.6,100.5,138.8
WLF_Mag_90,27.788,31.35,110,199.7,208.4
WLF_Dur,111.4,153.5,165,187,203.6
SLF_Mag_50,53,100.75,178,201.5,209
SLF_Mag_90,82,137.15,197.3,215.2,235.2
SLF_Dur,15,46.5,81,89,100
