metric,p10,p25,p50,p75,p90
HF_Mag_10,19.22,22.55,27.9,49.425,63.16
HF_Mag_50,54.95,71.375,128,192.5,270
HF_Tim,118,133.5,151,157,173
HF_Dur,116,124,135,150,167
Peak_Dur_2,2.5,4,9,27.25,37.5
Peak_Fre_2,1,1.75,2,3.25,4.5
HFA_ROC,0.062891305,0.07700086,0.093023256,0.108538258,0.152536644
HFR_Tim,213.2,219.5,229.5,244,248.8
HFR_Dur,30.2,39.75,53.5,64.5,69.7
HFR_ROC,0.045266596,0.057980651,0.069417981,0.08783244,0.102407974
SLF_Tim,263.2,269.5,283.5,291.25,301.5
WLF_Mag_50,28.69,31.4,38.55,49.4375,63.055
WLF_Mag_90,32.017,35.29,48.65,63.8125,78.155
WLF_Dur,101.3,115.75,135,142.5,157.1
SLF_Mag_50,16.1,17.5,20.8,35.85,48
SLF_Mag_90,24,26.25,29,50.28,59.56
SLF_Dur,79,89.5,98,112,118
