metric,p10,p25,p50,p75,p90
HF_Mag_10,14.45,33.6,59.1,118.925,137.68
HF_Mag_50,63.5,126.25,276,350.25,438.25
HF_Tim,4.8,13.75,65.5,170.25,188.1
HF_Dur,98,133.5,219,270,278.5
Peak_Dur_2,3,7,18,31,40.4
Peak_Fre_2,1,1,2,2,3.4
HFA_ROC,0.02324554,0.029592671,0.042485119,0.06510936,0.117180848
HFR_Tim,182.3,227,244,261.5,268.7
HFR_Dur,26,30,41,58,104.8
HFR_ROC,0.051921296,0.083103046,0.108943315,0.173351904,0.239501039
SLF_Tim,263.9,277.25,288,297.75,307.7
WLF_Mag_50,47,60,89,124,314
WLF_Mag_90,70.5,94.8,117.1,212.4,354.4
WLF_Dur,0,0,49,154.5,172.2
SLF_Mag_50,5,13,25.5,49.5,109.6
SLF_Mag_90,18.5,39.5,67.4,134,268.16
SLF_Dur,73.2,83,93,104,117.4
