metric,p10,p25,p50,p75,p90
HF_Mag_10,130.59,144.35,161.1,173.45,204.51
HF_Mag_50,149.65,185,366.25,459.375,488.3
HF_Tim,175,189,200,214,257
HF_Dur,72.8,92.75,112,145.75,163.7
Peak_Dur_2,2,5,10,13.25,14
Peak_Fre_2,1,1,1,1.25,2
HFA_ROC,0.009920556,0.018558903,0.033908046,0.042291833,0.056806624
HFR_Tim,244,254,269,283,329
HFR_Dur,20,31.5,47,72.5,88.8
HFR_ROC,0.011952569,0.018984146,0.024448133,0.041181376,0.055019763
SLF_Tim,264,288,307,349.75,359.9
WLF_Mag_50,123.8,131.5,134.5,137.25,139.2
WLF_Mag_90,135.79,138.225,141.45,154.125,156.7
WLF_Dur,158.6,178.25,185.5,198,241.1
SLF_Mag_50,134,142,165.5,185,243
SLF_Mag_90,162.4,180.4,202,238,338
SLF_Dur,21,31,71,94,118
