metric,p10,p25,p50,p75,p90
HF_Mag_10,3.6515,5.15,10.145,18.6125,28.9
HF_Mag_50,23.25,32.65,63.95,133,187.75
HF_Tim,175.5,185.5,189.5,197.25,206
HF_Dur,86.5,94.5,109,122,141
Peak_Dur_2,1.7,2.75,14,16.75,39.6
Peak_Fre_2,1,1,2,3,4
HFA_ROC,0.14168988,0.159481956,0.212823623,0.305112293,0.344501017
HFR_Tim,245,250.25,256,266,274
HFR_Dur,25.5,32,38,46.5,68
HFR_ROC,0.110056305,0.119538309,0.143526786,0.17446524,0.203838761
SLF_Tim,278,285.25,297.5,315.5,332
WLF_Mag_50,1.843,2.15,2.9,6.25,11.48
WLF_Mag_90,5.0596,7.709,10.39,17.5,22.888
WLF_Dur,159.4,169,173,181.5,190.4
SLF_Mag_50,7.01,9.3475,14.65,19.8,44.7
SLF_Mag_90,13.9,19.2,24.5,38.67,81.14
SLF_Dur,47.4,65,80,96.5,103.4
