metric,p10,p25,p50,p75,p90
HF_Mag_10,51.36,73.88,91,177.1,217.28
HF_Mag_50,117.6,168,302,926.25,1128
HF_Tim,33.2,89,132,152.5,157.2
HF_Dur,125.2,133,159,181,219
Peak_Dur_2,1,1.75,2,16.25,52.1
Peak_Fre_2,1,1,1,2.25,3
HFA_ROC,0.063897933,0.075238221,0.086106232,0.118617135,0.13299606
HFR_Tim,196.3,218.25,227,244.75,258.3
HFR_Dur,19.4,32,45,72,103.4
HFR_ROC,0.076499359,0.081196151,0.141176471,0.178120063,0.205372801
SLF_Tim,246.2,268,286,292,305.4
WLF_Mag_50,73.26,81.525,87,95.5,105.7
WLF_Mag_90,118.69,121.6,131.9,208.225,226.39
WLF_Dur,12.9,58.5,112,136.75,141.4
SLF_Mag_50,29.3,33.75,78.475,118.75,132.1
SLF_Mag_90,49.99,64.625,141.7,187.15,239.8
SLF_Dur,75.4,90.5,95.5,120,136.1
