metric,p10,p25,p50,p75,p90
HF_Mag_10,21.9,73.6,112.5,170.275,215.33
HF_Mag_50,115.6,169.75,260.5,361,501.1
HF_Tim,157.9,169.5,180,187,197
HF_Dur,107.8,133,150.5,162.5,176
Peak_Dur_2,1.5,5.75,23,39.5,51
Peak_Fre_2,1,1,1.5,2.25,3
HFA_ROC,0.049099043,0.057634347,0.070059612,0.093525835,0.167946429
HFR_Tim,236,243.5,253,259.5,265
HFR_Dur,48,64,75,85.5,95
HFR_ROC,0.020454545,0.024096774,0.028037383,0.034291961,0.084101382
SLF_Tim,292,313.5,328,338,348
WLF_Mag_50,15.9,70.2,95.25,122.5,145
WLF_Mag_90,27.45,84.45,116,151.95,185.8
WLF_Dur,141.9,153.5,164,171,181
SLF_Mag_50,20,65.65,95.3,147.75,199
SLF_Mag_90,32,72.77,108,158.65,213.3
SLF_Dur,33,43,53,67.5,89
