metric,p10,p25,p50,p75,p90
HF_Mag_10,41.3,53.2,65.22,84.3,99.92
HF_Mag_50,66.1,102.5,159,228.75,281
HF_Tim,135.3,145.75,156.5,165,177.9
HF_Dur,113,119,133,163.5,194
Peak_Dur_2,2,5,11,20,26.8
Peak_Fre_2,1,1,2,3,3
HFA_ROC,0.056807903,0.066233191,0.088558501,0.101325555,0.116196203
HFR_Tim,221,225,233,241,249
HFR_Dur,39.2,45,58,72,113.4
HFR_ROC,0.025566755,0.036764706,0.043294615,0.050724638,0.059627954
SLF_Tim,272,279,290,314,351
WLF_Mag_50,27,30.65,36,47.35,54
WLF_Mag_90,33.53,39.15,50,66.8,87
WLF_Dur,119,129.5,140,149,162
SLF_Mag_50,33.1,38,63,78.2,88.79
SLF_Mag_90,35.084,45,77.57,93.475,103.97
SLF_Dur,30,65,91,102,109
