Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10276836,2002,11,47,153,131,145,None,None,0.091319444,248,36,0.102631579,284,12,15,137,7,11,97
Current,10276836,2003,6.8,19,108,209,145,None,None,0.09375,270,47,0.125,317,12,14,92,6,7,64
Current,10276836,2004,15,33,122,157,145,1,1,0.0625,181,98,0.080882353,279,11.5,15.5,106,8,10,102
Current,10276836,2005,19.4,83,143,165,145,23,6,0.084337349,240,68,0.074074074,308,23,33.4,127,13,15.9,73
Current,10276836,2006,24.4,95,141,155,145,53,7,0.091549296,236,60,0.068337484,296,23,29,125,17,25.1,85
Current,10276836,2007,12,35,121,163,145,None,None,0.095894608,172,112,0.077935223,284,19,25,105,8,13,97
Current,10276836,2008,16,54.5,152,172,145,9,4,0.115245009,252,72,0.066666667,324,12,20,136,14,17,57
Current,10276836,2009,18,67.5,141,170,145,2,2,0.08,240,71,0.076095947,311,17,24,125,13,19.4,70
Current,10276836,2010,16,47.5,152,164,145,3,2,0.101449275,258,58,0.068055556,316,17,19,136,12,15,65
Current,10276836,2011,30,143,151,181,145,90,6,0.100228311,265,67,0.067424242,332,24,38,135,21,26.3,49
Current,10276836,2012,16,37,132,143,145,None,None,0.094235033,219,56,0.073170732,275,21,26,116,9,13,106
Current,10276836,2013,14,22,102,203,145,None,None,0.064516129,234,71,0.081666667,305,16,24,86,11,14,76
Current,10276836,2014,14,36,122,167,145,None,None,0.080032013,243,46,0.106203008,289,12,14,106,14,20,92
Current,10276836,2015,17,22,102,172,145,None,None,0.08989899,243,31,0.071428571,274,15,18,86,10,15,107
Current,10276836,2016,14,36,116,181,145,None,None,0.076923077,232,65,0.071428571,297,12,16,100,9,15,84
Current,10276836,2017,22,82,114,174,145,13,6,0.090909091,248,40,0.052631579,288,16,23,98,15,18.9,93
Current,10276836,2018,9,23,103,193,145,1,1,0.085714286,227,69,0.076923077,296,16,22.4,87,8,13,85
Current,10276836,2019,17,80,159,162,145,14,5,0.086956522,233,88,0.066005803,321,14,20,143,17,21,60
Current,10276836,2020,11,31.5,132,196,145,None,None,0.06557377,247,81,0.093073593,328,21,25,116,8,10,53
Current,10276836,2021,8,19,101,255,145,None,None,0.088888889,233,123,0.1,356,10,13.6,85,8.5,21.1,25
Current,10276836,2022,10,25,125,215,145,None,None,0.067509107,245,95,0.1,340,17,23,109,11.5,13,41
Current,10276836,2023,34,129,167,132,145,61,2,0.145833333,233,66,0.049770955,299,18,24,151,20,27,82
Current,10276836,2024,20,78,137,168,145,3,2,0.081081081,236,69,0.0625,305,None,None,None,None,None,None
Predicted,10276836,1973,24.54220273,67.28963399,179.9849833,132.4456083,215.9984497,11.74895833,1.399858333,0.13371167,235.473025,71.42390833,0.057866441,310.4846583,16.63536997,22.31100575,163.6715167,25.75479692,21.99128332,70.19929167
Predicted,10276836,1954,20.76234333,49.17600886,165.9944583,148.406075,215.9984497,9.800991667,1.565458333,0.138708837,230.1327583,81.60665,0.061107845,311.9553417,16.63536997,19.64082371,149.217,21.83021517,16.56030603,70.20336667
Predicted,10276836,1968,25.48982618,67.36921996,178.142075,150.1179583,215.9984497,9.462475,1.585991667,0.121210871,245.1803833,69.08071667,0.05796557,313.789175,16.63536997,19.32785878,162.0821333,27.38624263,24.19121645,68.98368333
Predicted,10276836,1959,22.84146529,61.43349826,169.8793667,150.598,215.9984497,8.790175,1.678358333,0.147305396,236.4947917,71.78376667,0.059427587,310.5798083,16.63536997,19.66661464,153.2631417,23.57978663,19.75747709,70.93013333
Predicted,10276836,1969,26.72226022,71.13262725,169.4211167,146.4712167,215.9984497,14.67006667,2.61155,0.144446103,228.3458583,81.013475,0.056582229,311.362025,16.63536997,21.65530721,153.2658167,28.30821582,22.14975027,70.63769167
Predicted,10276836,1992,17.80904397,41.03664102,157.3411083,155.6113667,215.9984497,8.54825,1.562591667,0.115038982,226.0228333,84.835375,0.065775791,311.501475,16.63536997,19.90226053,142.98395,20.51234582,14.76462461,68.67658333
Predicted,10276836,1982,30.54133959,83.83267417,181.95655,141.718725,215.9984497,14.09548333,2.107475,0.133292934,241.039975,72.45834167,0.058208162,312.9511083,16.63536997,21.69890844,165.5496667,34.73592356,37.05005209,70.56395
