Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10349360,1951,NA,NA,169,NA,650.5,NA,NA,0.061252557,335,NA,NA,NA,80,100,153,NA,NA,NA
Current,10349360,1952,216,837,174,98,650.5,55,2,0.161878882,221,51,0.071856287,272,74,94,158,348,509,109
Current,10349360,1953,NA,NA,192,NA,650.5,NA,NA,0.063047285,334,NA,NA,NA,132,176.5,176,NA,NA,NA
Current,10349360,1954,120.6,286,182,169,650.5,NA,NA,0.080851064,327,24,0.12,351,80,94,166,135,197.8,30
Current,10349360,1955,104.1,263,165,198,650.5,NA,NA,0.098039216,281,82,0.076665114,363,57,62,149,90,166.8,18
Current,10349360,1956,133.8,309,177,175,650.5,NA,NA,0.054744526,289,63,0.044198222,352,69,95,161,111,222.4,29
Current,10349360,1957,NA,NA,178,NA,650.5,9,1,0.083269157,283,NA,NA,NA,59.5,114,162,NA,NA,NA
Current,10349360,1958,155.8,391,164,185,650.5,19,3,0.072727273,308,41,0.062678063,349,80,103,148,154,192,32
Current,10349360,1959,101.2,254,204,157,650.5,NA,NA,0.066137566,290,71,0.114285714,361,79,88.3,188,72,163.4,20
Current,10349360,1960,111,283,166,181,650.5,NA,NA,0.077669903,269,78,0.069078947,347,48,60.2,150,91.5,139.7,34
Current,10349360,1961,80,199,205,139,650.5,NA,NA,0.075471698,270,74,0.078431373,344,49,57.2,189,69,89.5,37
Current,10349360,1962,128.1,297,164,184,650.5,4,1,0.097945079,321,27,0.072017916,348,48,81.2,148,130,177.5,33
Current,10349360,1963,93,226,192,158,650.5,NA,NA,0.063789596,283,67,0.076923077,350,56,73.5,176,98.5,237.4,31
Current,10349360,1964,NA,NA,186,NA,650.5,NA,NA,0.091666667,290,NA,NA,NA,49,58.1,170,NA,NA,NA
Current,10349360,1965,120.9,333,170,192,650.5,8,2,0.092039434,247,115,0.069908815,362,64,90.5,154,81.5,185.2,19
Current,10349360,1966,123,272,150,197,650.5,NA,NA,0.080605794,318,29,0.093506494,347,69,84,134,123,222,34
Current,10349360,1967,NA,NA,146,NA,650.5,5,2,0.081300813,331,NA,NA,NA,56,70,130,NA,NA,NA
Current,10349360,1968,141,394,173,159,650.5,11,4,0.067373701,287,45,0.057926829,332,70,105.4,157,260,371.2,49
