Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,666156,1951,140,255.5,165,128,391,44,4,0.076388889,236,57,0.018604651,293,121,135,149,150,170,88
Current,666156,1952,174.2,270,175,123,391,42,1,0.094097393,220,78,0.02828619,298,103,123,159,148,182.2,83
Current,666156,1953,103.2,129,168,157,391,NA,NA,0.052083333,257,68,0.017095266,325,106,127,152,95,101,56
Current,666156,1954,87,104,161,132,391,NA,NA,0.055555556,210,83,0.020204082,293,83,90,145,74,81,88
Current,666156,1955,89.2,128,178,119,391,1,1,0.117391304,224,73,0.026201373,297,66,70,162,80,87,84
Current,666156,1956,126.1,181,163,148,391,13,1,0.077604568,213,98,0.018241295,311,87,123,147,107,122,70
Current,666156,1957,109,157,148,175,391,3,2,0.08210073,235,88,0.020979021,323,88,100,132,113,122,58
Current,666156,1958,115,154.5,179,124,391,5,2,0.07192623,236,67,0.01971951,303,96,109,163,100,111,78
Current,666156,1959,81,104,156,143,391,NA,NA,0.097345465,213,86,0.024096386,299,85,98.2,140,79,81,82
Current,666156,1960,68,94,149,199,391,NA,NA,0.074463119,229,119,0.02739726,348,68,75,133,64,66,33
Current,666156,1961,NA,NA,NA,NA,391,NA,NA,NA,232,70,0.039215686,302,NA,NA,NA,47,53,79
Current,666156,1962,90,164,164,117,391,16,1,0.095731707,213,68,0.031159024,281,51,60,148,94,104,100
Current,666156,1963,71.8,109,163,123,391,NA,NA,0.080645161,225,61,0.027354829,286,73,81,147,66,77,95
Current,666156,1964,94,138,175,135,391,5,1,0.116984127,233,77,0.038674033,310,58,66,159,81,92,71
Current,666156,1965,157,238,172,112,391,25,2,0.084507042,233,51,0.028991597,284,75,102,156,129,155,97
Current,666156,1966,88,117,154,166,391,NA,NA,0.070588235,226,94,0.019047619,320,85,107.6,138,82,86,61
Current,666156,1967,124,187,179,144,391,18,2,0.062996032,237,86,0.021052632,323,75,82,163,115,117,58
Current,666156,1968,97.4,128,148,158,391,NA,NA,0.050632911,228,78,0.027896662,306,92,108.8,132,100,111,75
Current,666156,1969,105,153,166,164,391,3,1,0.099498839,222,108,0.017730496,330,86,96.2,150,98,103,51
Current,666156,1970,105,126,182,116,391,NA,NA,0.096774194,235,63,0.018348624,298,86,94,166,94,107,83
Current,666156,1971,192.3,299.5,165,162,391,66,1,0.060969134,231,96,0.019725784,327,96,130,149,172,183,54
Current,666156,1972,168,254,140,207,391,60,1,0.047439889,233,114,0.013621324,347,132,153,124,157,160.4,34
Current,666156,1973,138,181,182,101,391,6,1,0.098265896,227,56,0.021052632,283,115,139,166,119,138,98
Current,666156,1974,135.6,190,146,189,391,23,1,0.082051282,224,111,0.015038444,335,94,100,130,124,130,46
Current,666156,1975,130,182,186,152,391,25,3,0.126315789,240,98,0.015504808,338,105,117,170,124,128,43
Current,666156,1976,106,147,166,173,391,13,3,0.123046875,223,116,0.022319947,339,99,124,150,97,99,42
Current,666156,1977,NA,NA,NA,NA,391,NA,NA,NA,240,66,0.033333333,306,NA,NA,NA,50,56,75
Current,666156,1978,78,157,144,166,391,3,2,0.063460418,231,79,0.022900763,310,56,63,128,90,95.2,71
Current,666156,1979,82,119,152,187,391,1,1,0.056225806,233,106,0.023645504,339,76,84,136,74,77,42
Current,666156,1980,97,166,155,161,391,24,2,0.07668784,250,66,0.018867925,316,77,106.4,139,112,121.8,65
Current,666156,1981,68,83,129,196,391,NA,NA,0.033333333,242,83,0.022611789,325,82,99.6,113,62,66,56
Current,666156,1982,142,246,155,137,391,37,2,0.100195095,221,71,0.024523161,292,64,96,139,146,163.6,89
Current,666156,1983,178.6,301,187,119,391,39,2,0.091790635,244,62,0.023538939,306,118,135,171,190,222.1,75
Current,666156,1984,249.4,372.5,180,138,391,67,1,0.075834868,233,85,0.022821114,318,150.5,169,164,211,234,63
Current,666156,1985,164,205,160,143,391,25,2,0.063378396,219,84,0.011846014,303,153,181,144,150,160,78
Current,666156,1986,189.2,318,128,224,391,87,4,0.053638941,236,116,0.011829837,352,116,129.8,112,171.5,175.3,29
Current,666156,1987,NA,NA,NA,NA,391,NA,NA,NA,204,112,0.010526316,316,NA,NA,NA,89,91,65
Current,666156,1988,66,78,175,158,391,NA,NA,0.036144578,234,99,0.014705882,333,80,86,159,62,63,48
Current,666156,1989,74.3,100,149,144,391,NA,NA,0.066666667,207,86,0.0234375,293,57,59,133,68,75,88
Current,666156,1990,49,63,143,171,391,NA,NA,0.028370221,214,100,0.020408163,314,63,66,127,44,47,67
Current,666156,1991,60.2,83,176,153,391,1,1,0.069776876,250,79,0.022800881,329,44,49.1,160,60,65,52
Current,666156,1992,NA,NA,NA,NA,391,NA,NA,NA,217,96,0.021276596,313,NA,NA,NA,41,42,68
Current,666156,1993,100,199,151,151,391,5,2,0.06,231,71,0.020547945,302,44,52.6,135,92,105,79
Current,666156,1994,74.3,105,155,144,391,NA,NA,0.05,209,90,0.018292683,299,72,77,139,63,68,82
Current,666156,1995,92.5,152,138,206,391,NA,NA,0.036144578,238,106,0.015455305,344,62,68,122,104,106,37
Current,666156,1996,112.4,164,155,175,391,2,1,0.055555556,234,96,0.015822389,330,91,100,139,104,106,51
Current,666156,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,2001,NA,NA,NA,NA,391,NA,NA,NA,214,114,0.015873016,328,NA,NA,NA,56.35,62,53
Current,666156,2002,61.07,75.3,160,158,391,NA,NA,0.03960396,237,81,0.014024768,318,56,59.94,144,58.15,61.39,63
Current,666156,2003,54.06,81.1,152,127,391,NA,NA,0.05,232,47,0.020532065,279,54,58.05,136,48.8,51.7,102
Current,666156,2004,48.26,67.5,150,169,391,NA,NA,0.050705601,194,125,0.01504788,319,44.25,46.1,134,45.3,47.5,62
Current,666156,2005,102,162,167,141,391,12,3,0.107018914,226,82,0.020204082,308,52.4,62.6,151,90.85,103,73
Current,666156,2006,131.6,210,166,123,391,25,2,0.108,215,74,0.01953602,289,79.95,102.1,150,103,130,92
Current,666156,2007,67.1,80.95,134,172,391,NA,NA,0.035409322,192,114,0.014789534,306,81.8,92.59,118,60.75,62.2,75
Current,666156,2008,80.96,110,177,129,391,NA,NA,0.095833333,236,70,0.0191427,306,62,66.7,161,79.4,85,75
Current,666156,2009,99.02,134,160,143,391,3,1,0.083333333,221,82,0.018518519,303,66.75,74.77,144,89.9,96.68,78
Current,666156,2010,67.65,81,180,176,391,NA,NA,0.041076487,244,112,0.0125,356,70.05,81.42,164,63.7,66.24,25
Current,666156,2011,188.3,271,167,194,391,68,3,0.13028163,234,127,0.010309278,361,73.3,93.4,151,175,179,20
Current,666156,2012,NA,NA,NA,NA,391,NA,NA,NA,213,97,0.009708738,310,NA,NA,NA,73.3,79,71
Current,666156,2013,NA,NA,NA,NA,391,NA,NA,NA,227,92,0.008591471,319,NA,NA,NA,53.6,55.6,62
Current,666156,2014,77.55,92.45,144,146,391,NA,NA,0.04717722,225,65,0.014957265,290,51.25,53.9,128,70,76.31,91
Current,666156,2015,56.69,62.85,160,174,391,NA,NA,0.015230395,244,90,0.008912656,334,55.4,62,144,53.3,55.35,47
Current,666156,2016,75.54,96.5,150,155,391,NA,NA,0.060112094,225,80,0.009259259,305,50.7,54.43,134,72.15,77,76
Current,666156,2017,159.8,224,120,219,391,63,3,0.084822703,223,116,0.006289308,339,67.9,80.35,104,150,156,42
Current,666156,2018,82.88,105,155,167,391,NA,NA,0.038182346,214,108,0.011899537,322,104,130.2,139,75,78,59
Current,666156,2019,112.5,151,165,176,391,8,1,0.039637599,211,130,0.013059542,341,69.8,73.5,149,104,109,40
Current,666156,2020,87.8,115,147,159,391,NA,NA,0.047058824,217,89,0.020512821,306,86.5,95.8,131,77,85.6,75
Current,666156,2021,55,65,4,282,391,NA,NA,0.016666667,233,53,0.017392619,286,NA,NA,0,48,52,95
Current,666156,2022,56,79,155,137,391,NA,NA,0.042553191,232,60,0.016001024,292,51,53,139,49,55,89
Current,666156,2023,141.6,228,181,105,391,33,1,0.100131119,230,56,0.026562059,286,50,61,165,126,146,95
Current,666156,2024,112.5,149,160,146,391,8,2,0.094298246,212,94,0.015873016,306,92.05,99.3,144,97,106.6,75
Predicted,666156,1983,133.2977745,364.501959,189.678725,132.09785,1253.84716,16.22359167,2.140675,0.10701326,245.3853417,73.56465833,0.051541947,313.1695083,58.96538016,134.5642569,172.7577167,106.5758307,144.2062294,68.38493333
Predicted,666156,1984,145.3823679,434.6777684,193.8349083,128.9674333,1253.84716,14.35723333,1.965675,0.111630971,244.1072417,77.732275,0.050237534,316.6227,58.96538016,129.3816193,177.3672917,110.9759117,144.8158245,64.7442
Predicted,666156,1985,99.37555805,255.2624239,169.8025833,141.6435917,1253.84716,7.705025,1.49605,0.110426675,225.5755917,81.89183333,0.050477682,306.95145,58.96538016,125.5606202,152.8545333,84.1220843,85.78148001,74.7764
Predicted,666156,1958,83.75231943,223.161495,178.0432833,130.5550833,1253.84716,8.850016667,1.393366667,0.116187061,230.8156,75.82793333,0.051960665,305.287725,58.96538016,87.96831665,162.4133,75.1519724,75.43252868,76.81745833
Predicted,666156,1987,74.64586873,168.1534683,170.40055,139.568225,1253.84716,5.597758333,1.380966667,0.115750188,229.48225,79.28014167,0.051557135,308.3512917,58.96538016,108.1856827,153.180925,68.56474867,60.30480425,72.65091667
Predicted,666156,1950,104.7854507,291.2883612,184.9076167,129.279,1253.84716,6.68025,1.613866667,0.11851325,245.0120583,74.1442,0.051623118,313.308,58.96538016,99.03215846,168.86845,90.4370873,95.78185404,68.61001667
Predicted,666156,1963,74.58412431,177.4447163,172.4326,146.826,1253.84716,7.4894,1.696941667,0.121060287,234.23725,77.360825,0.051714182,311.1235917,58.96538016,95.04856321,156.7094333,71.41003487,71.84883876,70.42015833
Predicted,666156,1951,96.11249328,252.7621263,171.6004167,144.3151833,1253.84716,6.967041667,1.293575,0.114740577,235.7011417,76.31805833,0.050860259,310.8905833,58.96538016,96.30316909,155.3802583,82.30906334,85.44597496,70.43646667
Predicted,666156,1952,104.6970581,282.4390438,173.6502583,137.614,1253.84716,11.69341667,1.567958333,0.122369693,234.2045083,79.03763333,0.051875486,307.8605583,58.96538016,95.56732448,158.5984667,88.78875622,89.03637364,73.80735833
Predicted,666156,1953,89.89731248,234.1572929,189.41945,126.8627333,1253.84716,9.070966667,1.334841667,0.124586777,246.9069833,71.39305,0.05272411,315.108475,58.96538016,96.66113838,172.3089,75.63325968,76.18233546,67.318575
Predicted,666156,1954,62.44832603,146.2561209,170.565875,140.8351667,1253.84716,8.702366667,1.583591667,0.120119402,231.2335333,76.7191,0.050847152,309.782525,58.96538016,88.70618301,154.5634917,64.95090431,54.44920427,71.57005
Predicted,666156,1955,95.17672105,270.8432288,188.62125,128.3717917,1253.84716,8.3731,1.333033333,0.127734745,239.519975,77.8513,0.052520351,310.6755667,58.96538016,86.09507926,173.0095,82.07785306,88.21773773,71.592375
Predicted,666156,1956,96.66334246,270.0692527,170.6217583,143.2016917,1253.84716,9.1438,1.899408333,0.144514,234.1307167,77.44646667,0.051907271,309.2905833,58.96538016,93.29793943,153.9108167,80.69653232,80.3108585,72.67271667
Predicted,666156,1957,91.24729045,240.5130547,179.5823333,141.4248583,1253.84716,13.58331667,2.082133333,0.118085954,241.3191583,74.65043333,0.052498469,314.3774583,58.96538016,99.91381604,163.0143083,77.68217096,76.56647057,67.53950833
Predicted,666156,1996,90.13316568,235.5251452,177.8051333,139.6270083,1253.84716,7.102275,1.691525,0.115231059,237.7521333,76.23115,0.05122673,308.31115,58.96538016,95.1755522,160.7570917,78.32622498,78.05084336,73.08251667
Predicted,666156,1959,93.52198105,244.9428514,171.8867333,139.1803417,1253.84716,7.8372,1.395583333,0.113415469,239.15935,73.16724167,0.052210192,308.38815,58.96538016,87.32598629,156.87015,87.44460744,98.76865068,73.03639167
Predicted,666156,1986,131.2714515,413.0205133,168.1403583,150.1447,1253.84716,18.128875,1.384475,0.112210592,241.0295917,77.43520833,0.05189405,314.9461083,58.96538016,93.96415875,160.0072417,107.3310489,132.2528119,67.13674167
Predicted,666156,1961,59.64996636,137.6094103,171.216175,137.9817583,1253.84716,8.748366667,1.398066667,0.109934833,232.265075,75.13569167,0.051986929,306.94785,58.96538016,87.20509576,156.1683333,65.69301822,59.79766525,73.96135833
Predicted,666156,1962,99.06614012,277.8750358,170.1139417,142.5362667,1253.84716,8.396066667,1.591733333,0.125129265,235.68425,81.407975,0.052760225,312.5399667,58.96538016,86.76449757,155.5348417,86.0621456,85.65263903,69.45418333
Predicted,666156,1988,63.79949506,168.3274551,171.5237667,141.639025,1253.84716,8.410658333,1.748291667,0.135536461,232.6877083,76.42375,0.051612873,308.0719667,58.96538016,85.61249915,155.3320167,66.47713224,59.05142958,72.531125
Predicted,666156,1964,87.8581662,241.2882994,183.0143,133.7942917,1253.84716,6.082775,1.609991667,0.154755984,241.5588833,78.55201667,0.052387126,316.5405417,58.96538016,87.41812489,167.1624333,75.88093082,76.09342031,64.783875
Predicted,666156,1965,112.4916798,317.1565083,173.574425,141.0934083,1253.84716,9.894258333,1.795741667,0.112352924,237.9001417,77.323425,0.051566471,309.5426333,58.96538016,91.41369362,157.8343833,99.98206939,114.9220852,71.39294167
Predicted,666156,1966,70.34656636,167.468922,163.8756917,146.9424167,1253.84716,7.25795,1.674941667,0.121791475,223.108825,83.517475,0.050812394,306.6595583,58.96538016,106.4105398,146.6458,67.42349131,59.99483539,73.95671667
Predicted,666156,1967,103.7879545,303.7041095,181.9846917,141.9941167,1253.84716,9.302933333,2.088958333,0.135001413,244.090925,77.554525,0.052823619,317.5091667,58.96538016,85.56413176,166.1283333,88.09592681,92.38593972,63.60919167
Predicted,666156,1992,56.59752765,127.2787771,157.4692417,154.6575417,1253.84716,8.153525,1.723391667,0.105544126,219.099825,83.078075,0.052303037,313.769675,58.96538016,91.78942079,142.6877417,63.22638341,52.15803855,67.85895
Predicted,666156,1993,99.48677523,281.1463062,179.169425,137.3181917,1253.84716,10.09925833,1.815166667,0.121648293,237.9412917,79.84798333,0.053222948,315.09805,58.96538016,84.97686428,163.81805,89.71076252,92.1428107,67.12738333
Predicted,666156,1982,140.2735279,418.9057582,185.8498167,133.8626417,1253.84716,13.645,1.986558333,0.123489529,243.869525,76.91294167,0.052958269,314.440525,58.96538016,98.42233726,169.9310167,112.2995652,164.3260106,66.752925
Predicted,666156,1995,102.0576581,295.3126242,182.9434417,139.0784417,1253.84716,13.19125833,1.900183333,0.120796093,244.5297333,76.44995,0.052379008,315.848725,58.96538016,88.10587415,166.2168333,89.57889563,91.66128231,66.464975
Predicted,666156,1968,95.77973886,266.8463584,185.31425,129.7132,1253.84716,7.875166667,1.526375,0.106515105,242.2747083,74.97596667,0.051359249,313.0962333,58.96538016,98.76888257,169.061125,85.60529348,98.72954636,69.392725
Predicted,666156,1960,60.74569786,153.1898062,163.8631917,146.2085833,1253.84716,6.445166667,1.635708333,0.117852162,230.153075,77.80445,0.051109288,308.2609583,58.96538016,96.63211077,146.7867583,63.89784288,54.81508421,73.14634167
Predicted,666156,1971,108.7143146,312.7371502,170.2882417,143.6494667,1253.84716,10.49161667,2.09375,0.110326849,238.1643417,76.94764167,0.051283521,310.9533167,58.96538016,96.54043816,154.9737583,95.94965506,98.62523073,70.251075
Predicted,666156,1997,121.7226641,352.3476772,170.9658667,149.6937833,1253.84716,11.23213333,2.14745,0.111240094,235.4191083,77.805775,0.051842526,307.9231833,58.96538016,95.30137756,155.801025,104.9451062,121.2712209,71.94645
Predicted,666156,1998,117.7003726,337.8889663,182.4790833,138.1485417,1253.84716,8.874291667,2.037191667,0.117434115,241.9610583,77.62259167,0.052076911,316.6786167,58.96538016,101.8639274,164.9542333,100.0388979,103.4995416,65.27805833
Predicted,666156,1999,99.54222821,278.7626842,180.9011917,143.4191833,1253.84716,5.718225,1.751458333,0.113055978,244.1379917,75.438225,0.051724888,315.4799583,58.96538016,96.58100721,165.34435,87.35225007,92.81150221,67.02875
Predicted,666156,1989,80.65301779,198.9429044,164.8711333,149.1238833,1253.84716,9.877033333,1.695475,0.109542964,231.3843583,79.6241,0.051517899,309.1669833,58.96538016,87.05041992,150.6365417,74.18945898,69.28847231,72.31578333
Predicted,666156,1990,58.70190022,136.9577323,165.701475,148.8496833,1253.84716,5.9833,1.380341667,0.109095986,235.0127333,77.21091667,0.050914552,311.8117333,58.96538016,85.87869645,151.24075,63.68480943,52.36783648,69.66955833
Predicted,666156,1991,81.34395448,200.3375909,190.0680667,125.73645,1253.84716,7.817283333,1.305958333,0.123590021,244.5582,73.95313333,0.052176071,312.8207917,58.96538016,84.41059889,174.082575,76.74439949,79.11691767,68.78733333
Predicted,666156,2003,63.76667776,146.8620167,168.760625,150.1426667,1253.84716,8.027908333,1.429391667,0.106513664,230.471775,79.72391667,0.051199333,308.841375,58.96538016,85.4182659,152.4171,64.68094583,54.84731399,71.686275
Predicted,666156,2004,80.50941016,195.0043513,170.2615,156.2236583,1253.84716,10.5147,1.902691667,0.110351362,233.8226917,79.518275,0.051573681,308.01145,58.96538016,84.27139673,154.1737583,75.821085,71.61843843,73.53536667
Predicted,666156,1994,68.07327502,152.3520265,159.752875,159.1399333,1253.84716,9.522175,2.063166667,0.123884151,222.6004417,79.56945833,0.051623976,306.1098083,58.96538016,96.29391355,143.77445,65.7773431,56.74076191,74.71079167
Predicted,666156,1972,92.40962679,233.9012063,157.9082833,155.186475,1253.84716,8.355991667,1.732908333,0.107263951,233.7137667,76.82460833,0.051192513,309.409675,58.96538016,102.3059891,142.5973417,79.96759551,79.18598644,72.65239167
Predicted,666156,1973,97.88723917,264.0382786,180.0702083,131.2603833,1253.84716,8.859458333,1.353391667,0.121639415,235.2485417,76.57320833,0.051776939,308.8525917,58.96538016,96.84444927,164.8377167,90.64746308,107.5501565,73.75030833
Predicted,666156,2005,101.8892903,280.3458395,166.5620167,152.0836583,1253.84716,7.414691667,1.895583333,0.124297762,236.17275,77.01225,0.052372136,313.5133167,58.96538016,103.5644731,152.5132167,87.02404038,87.40850501,67.97568333
Predicted,666156,1969,92.93525278,249.8281179,167.0214333,138.5604,1253.84716,10.09421667,1.913616667,0.129021254,228.0756833,77.914525,0.051614298,306.277925,58.96538016,93.48679272,151.0962833,78.29686665,79.20775513,74.79194167
Predicted,666156,2001,62.08950964,159.840886,168.3930333,148.2319167,1253.84716,8.672625,1.458333333,0.110293503,227.7278917,75.52230833,0.051953854,305.8017667,58.96538016,84.76534579,153.2115167,64.82550558,56.50692219,75.28248333
Predicted,666156,2002,74.76470449,185.7479733,175.7338667,144.1579917,1253.84716,9.246891667,1.653525,0.117425776,233.6317333,78.90319167,0.051823321,306.86195,58.96538016,88.97015856,159.4840417,71.56662043,66.65794678,74.753175
Predicted,666156,1974,83.91347963,212.3807991,170.1571583,142.063975,1253.84716,5.928983333,1.635641667,0.123166783,232.7030917,77.83994167,0.051716958,308.8062333,58.96538016,98.2420637,154.6239583,72.56805122,68.56027616,74.0273
Predicted,666156,2000,67.48050954,154.3810584,161.5254083,152.5068417,1253.84716,8.274816667,1.662691667,0.115658187,225.834875,77.897825,0.05110209,308.2401833,58.96538016,88.45592655,144.54525,67.62437991,59.16775307,73.43285833
Predicted,666156,1981,63.42616311,148.7735204,169.1981833,143.83885,1253.84716,5.914275,1.382233333,0.115578562,238.73655,74.40753333,0.051826262,311.7791,58.96538016,95.97079291,153.0426583,64.02359741,54.69733121,70.0807
Predicted,666156,1970,78.3230618,195.1891475,187.1222333,125.0028667,1253.84716,9.510033333,1.690558333,0.119900519,240.3123667,73.20251667,0.051893685,309.8032083,58.96538016,94.24150615,171.6098417,73.31387515,72.68388635,71.75556667
Predicted,666156,1979,92.36567635,260.2497412,171.8765417,140.09755,1253.84716,9.905808333,1.515766667,0.133082533,234.862575,75.906925,0.05112513,308.5463583,58.96538016,88.53844218,156.0454833,77.16181821,76.71630406,73.31335833
Predicted,666156,1980,112.7251325,325.6546844,178.81145,136.554825,1253.84716,9.8151,2.0113,0.116616149,241.8519583,76.437725,0.051692385,312.781125,58.96538016,99.3200489,162.3892417,94.2304634,97.58120942,69.02736667
Predicted,666156,1975,89.74486004,249.0135776,188.3784083,129.55705,1253.84716,10.49445,1.926933333,0.130717135,247.788375,74.35571667,0.051998237,315.2241,58.96538016,96.09660685,172.69145,77.01869189,80.9590839,67.15538333
Predicted,666156,1976,88.9216149,241.0941354,175.5069,135.8608583,1253.84716,9.285608333,1.593675,0.117241844,232.0123667,78.423175,0.051766639,311.0052,58.96538016,99.07758453,160.3765167,76.91173428,76.38518488,72.00216667
Predicted,666156,2007,66.13447513,140.8792098,160.8364417,154.2235417,1253.84716,6.684883333,1.431833333,0.11220729,224.0619417,82.63976667,0.051029406,307.2087917,58.96538016,99.43375864,145.4648167,64.84297991,55.10098227,73.80784167
Predicted,666156,2008,90.18294698,247.5451638,181.7085417,134.172025,1253.84716,9.055108333,2.064525,0.132686748,239.8946667,72.72486667,0.052619239,308.6326667,58.96538016,83.97163177,167.1566667,78.30122058,78.7983068,73.41839167
Predicted,666156,2014,89.02144677,204.5236386,176.18845,152.2586583,1253.84716,7.10595,1.91585,0.111036626,232.686525,77.53283333,0.051736015,305.8119667,58.96538016,83.94978347,160.591075,89.09663406,102.6504657,75.48534167
Predicted,666156,2015,73.90577055,156.0573738,172.2326667,146.5821667,1253.84716,9.682166667,1.594325,0.112952603,234.922025,79.854875,0.050996281,311.5723167,58.96538016,95.42987652,157.4286417,71.28291307,59.99449164,69.75835
Predicted,666156,1977,56.27359124,133.0194589,172.2798583,142.4409583,1253.84716,9.031358333,1.584066667,0.122695903,235.7824167,70.587225,0.052056469,314.4735417,58.96538016,86.14394895,156.4027083,63.99693898,54.88786978,66.53355833
Predicted,666156,1978,91.71701102,218.6787815,166.8559833,152.0536167,1253.84716,7.036625,1.61725,0.109579709,237.216375,72.57423333,0.05220026,309.7755917,58.96538016,87.12910302,152.5441167,87.57218934,92.30500232,72.39243333
Predicted,666156,2012,72.1410029,153.0286872,163.810875,154.2518417,1253.84716,6.677816667,1.602791667,0.108812968,227.531725,79.85963333,0.050457676,309.2079667,58.96538016,97.94893305,147.8949167,67.85760673,61.3529615,72.65646667
Predicted,666156,2009,97.17589588,270.0402623,175.1404583,144.0634833,1253.84716,8.25805,1.998708333,0.113924958,235.1388167,77.30496667,0.052840934,311.2932833,58.96538016,93.29605229,158.9444583,84.76072401,85.80981194,69.51915833
Predicted,666156,2010,77.16430888,191.4785649,183.2128667,138.12285,1253.84716,6.736241667,1.391191667,0.115818177,243.9277833,71.73798333,0.051883472,313.7311583,58.96538016,93.72658625,167.7398333,71.82296585,71.1988885,68.24373333
Predicted,666156,2006,98.8499313,285.4324216,170.2064,147.0103917,1253.84716,9.971508333,1.830858333,0.111672503,226.0611583,77.51695833,0.050933537,305.6802,58.96538016,93.05359619,154.3617083,92.54323733,100.1621634,75.49429167
Predicted,666156,2013,68.32538562,170.9683002,176.0771167,145.5912333,1253.84716,9.064316667,1.587125,0.11480828,233.5881917,77.62774167,0.051705318,306.3572583,58.96538016,88.38441264,159.86005,68.18532275,65.50681436,75.22648333
Predicted,666156,2011,141.3445756,437.8371109,185.4575083,144.9132417,1253.84716,12.36515,2.261233333,0.114974704,245.3661583,78.07473333,0.05246713,317.093525,58.96538016,97.11119486,168.5750333,107.5409951,128.3651072,63.59888333
