Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,666156,1951,140,255.5,165,128,391,44,4,0.076388889,236,57,0.018604651,293,121,135,149,150,170,88
Current,666156,1952,174.2,270,175,123,391,42,1,0.094097393,220,78,0.02828619,298,103,123,159,148,182.2,83
Current,666156,1953,103.2,129,168,157,391,NA,NA,0.052083333,257,68,0.017095266,325,106,127,152,95,101,56
Current,666156,1954,87,104,161,132,391,NA,NA,0.055555556,210,83,0.020204082,293,83,90,145,74,81,88
Current,666156,1955,89.2,128,178,119,391,1,1,0.117391304,224,73,0.026201373,297,66,70,162,80,87,84
Current,666156,1956,126.1,181,163,148,391,13,1,0.077604568,213,98,0.018241295,311,87,123,147,107,122,70
Current,666156,1957,109,157,148,175,391,3,2,0.08210073,235,88,0.020979021,323,88,100,132,113,122,58
Current,666156,1958,115,154.5,179,124,391,5,2,0.07192623,236,67,0.01971951,303,96,109,163,100,111,78
Current,666156,1959,81,104,156,143,391,NA,NA,0.097345465,213,86,0.024096386,299,85,98.2,140,79,81,82
Current,666156,1960,68,94,149,199,391,NA,NA,0.074463119,229,119,0.02739726,348,68,75,133,64,66,33
Current,666156,1961,NA,NA,NA,NA,391,NA,NA,NA,232,70,0.039215686,302,NA,NA,NA,47,53,79
Current,666156,1962,90,164,164,117,391,16,1,0.095731707,213,68,0.031159024,281,51,60,148,94,104,100
Current,666156,1963,71.8,109,163,123,391,NA,NA,0.080645161,225,61,0.027354829,286,73,81,147,66,77,95
Current,666156,1964,94,138,175,135,391,5,1,0.116984127,233,77,0.038674033,310,58,66,159,81,92,71
Current,666156,1965,157,238,172,112,391,25,2,0.084507042,233,51,0.028991597,284,75,102,156,129,155,97
Current,666156,1966,88,117,154,166,391,NA,NA,0.070588235,226,94,0.019047619,320,85,107.6,138,82,86,61
Current,666156,1967,124,187,179,144,391,18,2,0.062996032,237,86,0.021052632,323,75,82,163,115,117,58
Current,666156,1968,97.4,128,148,158,391,NA,NA,0.050632911,228,78,0.027896662,306,92,108.8,132,100,111,75
Current,666156,1969,105,153,166,164,391,3,1,0.099498839,222,108,0.017730496,330,86,96.2,150,98,103,51
Current,666156,1970,105,126,182,116,391,NA,NA,0.096774194,235,63,0.018348624,298,86,94,166,94,107,83
Current,666156,1971,192.3,299.5,165,162,391,66,1,0.060969134,231,96,0.019725784,327,96,130,149,172,183,54
Current,666156,1972,168,254,140,207,391,60,1,0.047439889,233,114,0.013621324,347,132,153,124,157,160.4,34
Current,666156,1973,138,181,182,101,391,6,1,0.098265896,227,56,0.021052632,283,115,139,166,119,138,98
Current,666156,1974,135.6,190,146,189,391,23,1,0.082051282,224,111,0.015038444,335,94,100,130,124,130,46
Current,666156,1975,130,182,186,152,391,25,3,0.126315789,240,98,0.015504808,338,105,117,170,124,128,43
Current,666156,1976,106,147,166,173,391,13,3,0.123046875,223,116,0.022319947,339,99,124,150,97,99,42
Current,666156,1977,NA,NA,NA,NA,391,NA,NA,NA,240,66,0.033333333,306,NA,NA,NA,50,56,75
Current,666156,1978,78,157,144,166,391,3,2,0.063460418,231,79,0.022900763,310,56,63,128,90,95.2,71
Current,666156,1979,82,119,152,187,391,1,1,0.056225806,233,106,0.023645504,339,76,84,136,74,77,42
Current,666156,1980,97,166,155,161,391,24,2,0.07668784,250,66,0.018867925,316,77,106.4,139,112,121.8,65
Current,666156,1981,68,83,129,196,391,NA,NA,0.033333333,242,83,0.022611789,325,82,99.6,113,62,66,56
Current,666156,1982,142,246,155,137,391,37,2,0.100195095,221,71,0.024523161,292,64,96,139,146,163.6,89
Current,666156,1983,178.6,301,187,119,391,39,2,0.091790635,244,62,0.023538939,306,118,135,171,190,222.1,75
Current,666156,1984,249.4,372.5,180,138,391,67,1,0.075834868,233,85,0.022821114,318,150.5,169,164,211,234,63
Current,666156,1985,164,205,160,143,391,25,2,0.063378396,219,84,0.011846014,303,153,181,144,150,160,78
Current,666156,1986,189.2,318,128,224,391,87,4,0.053638941,236,116,0.011829837,352,116,129.8,112,171.5,175.3,29
Current,666156,1987,NA,NA,NA,NA,391,NA,NA,NA,204,112,0.010526316,316,NA,NA,NA,89,91,65
Current,666156,1988,66,78,175,158,391,NA,NA,0.036144578,234,99,0.014705882,333,80,86,159,62,63,48
Current,666156,1989,74.3,100,149,144,391,NA,NA,0.066666667,207,86,0.0234375,293,57,59,133,68,75,88
Current,666156,1990,49,63,143,171,391,NA,NA,0.028370221,214,100,0.020408163,314,63,66,127,44,47,67
Current,666156,1991,60.2,83,176,153,391,1,1,0.069776876,250,79,0.022800881,329,44,49.1,160,60,65,52
Current,666156,1992,NA,NA,NA,NA,391,NA,NA,NA,217,96,0.021276596,313,NA,NA,NA,41,42,68
Current,666156,1993,100,199,151,151,391,5,2,0.06,231,71,0.020547945,302,44,52.6,135,92,105,79
Current,666156,1994,74.3,105,155,144,391,NA,NA,0.05,209,90,0.018292683,299,72,77,139,63,68,82
Current,666156,1995,92.5,152,138,206,391,NA,NA,0.036144578,238,106,0.015455305,344,62,68,122,104,106,37
Current,666156,1996,112.4,164,155,175,391,2,1,0.055555556,234,96,0.015822389,330,91,100,139,104,106,51
Current,666156,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,666156,2001,NA,NA,NA,NA,391,NA,NA,NA,214,114,0.015873016,328,NA,NA,NA,56.35,62,53
Current,666156,2002,61.07,75.3,160,158,391,NA,NA,0.03960396,237,81,0.014024768,318,56,59.94,144,58.15,61.39,63
Current,666156,2003,54.06,81.1,152,127,391,NA,NA,0.05,232,47,0.020532065,279,54,58.05,136,48.8,51.7,102
Current,666156,2004,48.26,67.5,150,169,391,NA,NA,0.050705601,194,125,0.01504788,319,44.25,46.1,134,45.3,47.5,62
Current,666156,2005,102,162,167,141,391,12,3,0.107018914,226,82,0.020204082,308,52.4,62.6,151,90.85,103,73
Current,666156,2006,131.6,210,166,123,391,25,2,0.108,215,74,0.01953602,289,79.95,102.1,150,103,130,92
Current,666156,2007,67.1,80.95,134,172,391,NA,NA,0.035409322,192,114,0.014789534,306,81.8,92.59,118,60.75,62.2,75
Current,666156,2008,80.96,110,177,129,391,NA,NA,0.095833333,236,70,0.0191427,306,62,66.7,161,79.4,85,75
Current,666156,2009,99.02,134,160,143,391,3,1,0.083333333,221,82,0.018518519,303,66.75,74.77,144,89.9,96.68,78
Current,666156,2010,67.65,81,180,176,391,NA,NA,0.041076487,244,112,0.0125,356,70.05,81.42,164,63.7,66.24,25
Current,666156,2011,188.3,271,167,194,391,68,3,0.13028163,234,127,0.010309278,361,73.3,93.4,151,175,179,20
Current,666156,2012,NA,NA,NA,NA,391,NA,NA,NA,213,97,0.009708738,310,NA,NA,NA,73.3,79,71
Current,666156,2013,NA,NA,NA,NA,391,NA,NA,NA,227,92,0.008591471,319,NA,NA,NA,53.6,55.6,62
Current,666156,2014,77.55,92.45,144,146,391,NA,NA,0.04717722,225,65,0.014957265,290,51.25,53.9,128,70,76.31,91
Current,666156,2015,56.69,62.85,160,174,391,NA,NA,0.015230395,244,90,0.008912656,334,55.4,62,144,53.3,55.35,47
Current,666156,2016,75.54,96.5,150,155,391,NA,NA,0.060112094,225,80,0.009259259,305,50.7,54.43,134,72.15,77,76
Current,666156,2017,159.8,224,120,219,391,63,3,0.084822703,223,116,0.006289308,339,67.9,80.35,104,150,156,42
Current,666156,2018,82.88,105,155,167,391,NA,NA,0.038182346,214,108,0.011899537,322,104,130.2,139,75,78,59
Current,666156,2019,112.5,151,165,176,391,8,1,0.039637599,211,130,0.013059542,341,69.8,73.5,149,104,109,40
Current,666156,2020,87.8,115,147,159,391,NA,NA,0.047058824,217,89,0.020512821,306,86.5,95.8,131,77,85.6,75
Current,666156,2021,55,65,4,282,391,NA,NA,0.016666667,233,53,0.017392619,286,NA,NA,0,48,52,95
Current,666156,2022,56,79,155,137,391,NA,NA,0.042553191,232,60,0.016001024,292,51,53,139,49,55,89
Current,666156,2023,141.6,228,181,105,391,33,1,0.100131119,230,56,0.026562059,286,50,61,165,126,146,95
Current,666156,2024,112.5,149,160,146,391,8,2,0.094298246,212,94,0.015873016,306,92.05,99.3,144,97,106.6,75
Prediction,666156,1983,126.1864802,286.2869807,187.7629417,131.608125,1096.250678,8.738458303,2.182991667,0.101441078,245.03215,72.2305,0.046815374,313.3747167,57.94758271,114.6233408,171.0088167,72.95183483,127.5190725,67.64778333
Prediction,666156,1984,129.5405007,333.2158569,193.4143333,131.8056417,1096.250678,7.443644073,1.917725,0.105257486,243.5078167,76.04000833,0.045454075,314.5685917,57.94758271,111.5976932,176.7916583,74.1402135,118.6176592,65.57916667
Prediction,666156,1985,86.27282492,198.6108908,172.5179167,142.5334417,1096.250678,5.268267912,1.506375,0.10472761,228.8198167,80.41033333,0.045613944,306.3521417,57.94758271,109.0428509,156.1326583,53.1777697,70.06315578,74.4834
Prediction,666156,1958,65.72813979,192.5278456,176.066875,131.2578,1096.250678,6.253624041,1.398033333,0.113153241,231.5581333,74.463425,0.046784137,304.7498083,57.94758271,69.79238972,160.7918667,42.85943486,64.13270435,75.92975
Prediction,666156,1987,66.41415405,147.9493231,169.1760667,142.9503833,1096.250678,2.437913085,1.371941667,0.103727244,230.895,79.387475,0.045653666,308.5996917,57.94758271,91.45771329,152.208025,38.97880743,46.6447941,72.39735833
Prediction,666156,1950,95.62581308,264.1789138,188.0924917,133.2301917,1096.250678,4.524982072,1.6085,0.117110785,244.2345167,72.40475,0.046555473,311.5201833,57.94758271,84.35588803,172.3263333,56.95832179,76.64096082,68.85035833
Prediction,666156,1963,60.12969337,143.6902574,169.6636667,148.7096167,1096.250678,3.528407551,1.635675,0.112114659,235.4544583,76.39409167,0.046840751,310.218775,57.94758271,78.30616192,153.4742667,42.81277131,63.33716517,70.177725
Prediction,666156,1951,85.67938532,218.0553636,175.1972833,145.1175,1096.250678,4.119008239,1.3054,0.109756939,236.8368583,74.53045833,0.046209899,309.980125,57.94758271,82.31918479,158.7641417,49.33322207,73.74415367,70.39100833
Prediction,666156,1952,93.14046861,242.676655,178.3910917,140.1421833,1096.250678,9.134812821,1.536383333,0.115602334,234.469925,77.75435833,0.046751448,306.6265583,57.94758271,80.50545928,162.75105,55.45634541,78.0522396,73.87804167
Prediction,666156,1953,74.35009468,195.7640096,192.72385,130.090425,1096.250678,4.707829249,1.358858333,0.11680024,244.0344167,70.99951667,0.047532329,315.473625,57.94758271,80.50851178,174.92395,44.01818421,65.51352725,66.39915
Prediction,666156,1954,49.73399109,125.1463673,175.6947,143.454425,1096.250678,3.835191813,1.64985,0.116314919,232.5261417,76.04198333,0.046070084,308.828475,57.94758271,70.41886978,159.2079583,35.94326154,42.64994423,71.70113333
Prediction,666156,1955,77.43854704,230.1145109,185.1347917,130.82965,1096.250678,5.651412707,1.325041667,0.123387361,239.7293,76.6017,0.047224796,309.7916,57.94758271,67.81689399,168.99015,52.08648936,78.02605163,71.68675
Prediction,666156,1956,77.90213897,240.9290875,175.6641667,145.8219,1096.250678,6.456305141,1.8888,0.126711947,234.8049333,76.25094167,0.046922618,309.1181333,57.94758271,77.90285665,158.9300417,49.84637262,68.14589947,72.39185833
Prediction,666156,1957,75.55852908,198.6922814,181.60375,141.1751333,1096.250678,8.035196197,2.11875,0.112732415,241.6331,73.96496667,0.047347734,314.6176417,57.94758271,81.99582989,165.0165,45.0985606,67.56480472,66.41588333
Prediction,666156,1996,74.78343026,197.5014768,177.33865,141.92195,1096.250678,4.581951123,1.692975,0.107701694,236.2196833,75.502225,0.04561323,307.7768917,57.94758271,80.7601499,159.8913583,45.63073466,62.88816478,72.52581667
Prediction,666156,1959,72.75951638,210.0705522,176.57305,140.828625,1096.250678,5.28330855,1.37875,0.110527837,237.26855,71.32391667,0.046837611,307.6978167,57.94758271,68.67117991,161.5066,59.47919873,87.83392368,73.04371667
Prediction,666156,1986,116.5568881,328.5246804,166.7851167,146.8339667,1096.250678,10.20128333,1.347516667,0.105436345,240.2340833,75.35474167,0.047022778,312.9276667,57.94758271,79.84500374,155.3707167,69.77153203,103.5155994,67.5352
Prediction,666156,1961,48.8148897,109.7229569,168.5959667,140.70005,1096.250678,4.264549006,1.4242,0.102992803,230.2943333,74.00436667,0.047081468,306.7997167,57.94758271,68.51869471,152.710375,38.85562015,54.58983193,74.10376667
Prediction,666156,1962,85.97104197,251.5967518,173.207425,145.5149083,1096.250678,5.305644485,1.578458333,0.121679397,235.43375,79.98343333,0.047624805,312.7011167,57.94758271,70.76516048,159.6802833,54.39337425,70.9563255,68.66689167
Prediction,666156,1988,51.37607685,142.8616261,172.7222,146.9584417,1096.250678,4.863027868,1.7468,0.119450223,230.6631167,75.31415,0.047092967,308.2183333,57.94758271,68.21294178,155.931575,38.15342617,50.96275566,72.35310833
Prediction,666156,1964,69.79483576,206.3347135,185.8666833,139.3597583,1096.250678,4.150548932,1.646991667,0.134300786,241.820675,78.37395,0.047534724,316.6529583,57.94758271,71.10615794,170.4240833,44.54577819,62.23453165,64.00005
Prediction,666156,1965,96.40090991,258.3773475,176.8728667,141.852425,1096.250678,4.119059837,1.819733333,0.1056948,237.44565,75.69111667,0.046904046,308.4563,57.94758271,71.92812887,161.202175,63.87887688,91.4289004,71.01835833
Prediction,666156,1966,60.62227212,148.2788243,161.8382167,149.5491,1096.250678,3.407969521,1.6811,0.115129818,224.6337,82.72138333,0.046044204,306.36355,57.94758271,90.42107768,144.6526167,41.48484712,55.65527624,73.58964167
Prediction,666156,1967,94.30698675,262.9255359,184.2202417,142.1346167,1096.250678,6.349433634,2.036525,0.121904857,244.652675,76.52830833,0.047798779,317.6494583,57.94758271,66.59597764,167.5428083,54.60122286,74.32730339,63.1771
Prediction,666156,1992,45.50465989,101.0701791,157.0428917,158.2641583,1096.250678,4.075441697,1.701891667,0.099242176,222.2058417,83.266875,0.046754295,307.7564833,57.94758271,75.20168683,141.3917917,33.81396021,39.49803626,72.15215833
Prediction,666156,1993,89.0412931,249.9144139,185.2064917,139.515175,1096.250678,6.165206295,1.75165,0.111751745,242.626975,78.09498333,0.047544336,315.3762667,57.94758271,66.11769518,169.5825083,56.23630133,81.20070777,65.45956667
Prediction,666156,1982,122.2818646,333.1184871,185.6513917,133.5360167,1096.250678,7.71914898,1.99335,0.115100554,243.1340583,76.659,0.046607733,311.745025,57.94758271,83.38012303,169.1665167,75.23095725,124.1429407,68.12425833
Prediction,666156,1995,89.33809653,267.5457618,186.81,140.6144417,1096.250678,8.823934629,1.8672,0.111550021,244.625175,74.8826,0.047310636,316.08785,57.94758271,69.59806501,168.583,54.51853366,72.79572522,66.36915833
Prediction,666156,1968,78.85735112,220.7085063,186.4196,130.7716833,1096.250678,5.065455676,1.528658333,0.102833192,241.3083667,73.091525,0.046526636,312.0298917,57.94758271,82.33757983,168.4453917,49.70193671,77.5088472,68.42924167
Prediction,666156,1960,51.6736733,129.2150977,165.365675,147.3698417,1096.250678,3.135242845,1.613866667,0.112186058,227.1013607,78.3161,0.046072185,307.3842417,57.94758271,82.84670087,150.2751417,36.16377717,48.70928032,73.31
Prediction,666156,1971,101.5029461,261.9461335,171.7711583,141.6849,1096.250678,8.109778556,2.132141667,0.108306033,236.8786917,75.47935833,0.047213396,309.9324167,57.94758271,82.57267332,156.7105583,61.02346638,89.9336369,69.97049167
Prediction,666156,1997,111.9445949,296.7760144,167.5947583,149.5631583,1096.250678,5.664332252,2.121725,0.103209599,238.5216,76.46985,0.04645764,308.1476,57.94758271,79.34235133,153.0479333,70.88762609,104.3589498,70.36823333
Prediction,666156,1998,113.9826377,287.8384116,186.0159833,139.2443417,1096.250678,4.06120276,2.083208333,0.111336986,242.4282333,76.53308333,0.04685939,316.8093333,57.94758271,86.74164313,167.709225,63.4101339,90.10591967,63.8619
Prediction,666156,1999,90.00257665,235.5161087,179.0558667,143.0869417,1096.250678,3.232934104,1.6941,0.103944819,243.1627583,75.23583333,0.046747366,315.2668667,57.94758271,82.90542147,161.9973417,51.13947593,74.94440996,66.87099167
Prediction,666156,1989,67.39328684,175.5730974,168.0398417,152.7507917,1096.250678,4.973774683,1.660625,0.101927252,232.5221,79.24433333,0.047129339,308.9700583,57.94758271,67.52084725,152.98795,43.8142161,55.50245666,72.02128333
Prediction,666156,1990,47.28375897,109.5591967,170.9080417,152.7686083,1096.250678,2.886235566,1.389316667,0.106648471,233.2798333,75.82655,0.046293945,310.6913417,57.94758271,69.32058116,156.8235083,35.10802963,41.66440293,70.45274167
Prediction,666156,1991,67.27992961,172.2843818,190.6493417,127.7607917,1096.250678,4.762291142,1.321325,0.11897134,243.9353083,72.53995,0.047183381,313.1074583,57.94758271,65.7242491,175.1975167,46.71226812,70.53129134,68.48774167
Prediction,666156,2003,53.67183614,116.9811068,165.970825,150.6735167,1096.250678,3.187793744,1.446116667,0.099590705,230.8305417,80.00780833,0.046718566,307.6467167,57.94758271,68.46769242,151.624375,36.77861851,45.64271157,73.658925
Prediction,666156,2004,68.8073518,170.5922356,170.9133667,157.3920833,1096.250678,6.068001916,1.8828,0.101706829,233.1561083,79.51526667,0.046570825,307.6333583,57.94758271,65.40765116,156.1043583,44.8473419,59.3100363,72.84625833
Prediction,666156,1994,56.17453967,137.2732461,156.7787,158.8350083,1096.250678,5.096234444,2.052916667,0.112233479,225.7747417,78.68486667,0.046062004,305.4076833,57.94758271,81.02966589,140.0025167,37.02416295,46.8189362,75.12614167
Prediction,666156,1972,80.70924943,194.7859911,157.6509917,153.603075,1096.250678,4.880675741,1.752833333,0.102350233,233.4374583,75.82374167,0.046062055,308.1924167,57.94758271,88.42370214,140.4677667,47.51237714,68.71430081,72.88975833
Prediction,666156,1973,76.76467449,213.90003,179.4372167,131.2288667,1096.250678,6.204646235,1.355375,0.113787817,234.8525,74.95083333,0.046610022,307.11275,57.94758271,81.57952007,164.096875,60.85315395,93.65169043,74.06314167
Prediction,666156,2005,88.66899868,229.4966936,163.4557917,157.0175333,1096.250678,4.212990844,1.958266667,0.115494776,238.7283333,76.94195,0.047265762,313.6326083,57.94758271,88.54578626,149.6451833,51.16410876,71.08674707,66.748925
Prediction,666156,1969,75.97383438,224.4393619,169.4361833,141.2584917,1096.250678,7.546840682,1.919116667,0.115913543,229.4545,76.89765,0.046631815,304.4225917,57.94758271,77.85728167,152.7536417,46.69151407,66.11876668,75.48418333
Prediction,666156,2001,52.69312306,135.7424984,168.4569333,151.4603,1096.250678,3.74662294,1.470616667,0.106454448,227.4394583,75.77200833,0.046731174,305.53495,57.94758271,67.78770614,153.5242,36.48976776,48.14740525,74.90246667
Prediction,666156,2002,58.84957681,157.6133135,174.964475,145.6716667,1096.250678,5.44720298,1.681258333,0.112520128,231.92295,78.28073333,0.046691257,306.8937333,57.94758271,69.90749034,159.3242417,43.95446136,55.72459759,74.18160833
Prediction,666156,1974,72.14742781,180.7470463,171.980575,143.0162833,1096.250678,3.927550747,1.6353,0.117377049,232.0713333,76.43513333,0.04672044,307.5461667,57.94758271,84.52360571,154.8705333,43.26895619,61.93152533,74.31953333
Prediction,666156,2000,54.81865019,127.6917942,160.956675,154.4807917,1096.250678,3.368836451,1.69125,0.109969252,229.5748917,78.84095833,0.04580196,307.107275,57.94758271,70.50479505,144.600075,37.45731494,45.12136012,74.07178333
Prediction,666156,1981,52.14161458,122.2456837,171.8849583,146.8152833,1096.250678,3.085437807,1.3852,0.11102932,238.0238167,74.11514167,0.046038103,310.7615167,57.94758271,82.62522538,154.7580333,34.97590115,44.60476581,70.430275
Prediction,666156,1970,63.31364621,169.6874843,184.4874167,126.2950167,1096.250678,5.875502353,1.667583333,0.112870041,237.8904083,72.25915,0.047054749,309.3412833,57.94758271,77.13016222,168.8530083,42.84513834,63.43238146,71.95725833
Prediction,666156,1979,74.32600237,218.9269942,175.870275,141.5669167,1096.250678,6.526327076,1.493866667,0.119668385,234.9234417,74.79156667,0.045495032,307.604775,57.94758271,72.53936208,160.7377,45.51206871,67.37779733,72.97825833
Prediction,666156,1980,106.9314804,279.1745661,180.7103667,139.4395083,1096.250678,6.511542185,1.977933333,0.109565567,243.5098,75.651125,0.047271537,312.4754833,57.94758271,84.24146393,164.232325,59.69422173,81.97367528,68.63661667
Prediction,666156,1975,68.08833468,212.8711143,186.9466583,129.2811667,1096.250678,6.526007397,1.941775,0.117652007,244.8191083,73.56355833,0.046469221,313.5561833,57.94758271,80.27598254,171.6689333,44.05483287,64.35314905,68.33553333
Prediction,666156,1976,69.48479492,206.2066199,177.98685,136.4927333,1096.250678,6.649701669,1.593575,0.109205289,234.4889083,77.80686667,0.047368276,309.5827917,57.94758271,83.18986965,162.7430083,45.05005631,67.61231456,71.41919167
Prediction,666156,2007,56.82939901,111.0406662,157.4636333,156.7442667,1096.250678,2.923249642,1.412283333,0.109028634,224.1428333,82.60375833,0.045258136,306.7159833,57.94758271,85.41716386,141.2969917,38.57148916,46.12548276,74.63524167
Prediction,666156,2008,71.38133526,221.4937419,179.9459583,133.8461083,1096.250678,6.125370112,2.028416667,0.122223311,237.1070917,71.42929167,0.047658742,307.8952667,57.94758271,66.62583528,164.2697833,47.22839286,73.02828662,73.287475
Prediction,666156,2014,72.80796565,164.1715582,174.871125,155.17025,1096.250678,3.686205077,1.93945,0.099507457,233.2228583,77.12131667,0.046632601,305.756675,57.94758271,66.81278551,159.768175,56.94934187,78.2195732,74.9013
Prediction,666156,2015,63.74487496,124.8469984,170.0207417,146.9835167,1096.250678,4.216977394,1.525666667,0.102299304,230.0280083,79.50028333,0.046071949,310.9876083,57.94758271,77.44098596,155.74435,44.94674572,56.45086064,70.158625
Prediction,666156,1977,47.37180132,107.704447,172.1165083,143.8388333,1096.250678,3.691393367,1.656008333,0.109486592,234.4942583,71.22838333,0.047686735,313.5412,57.94758271,69.79722039,156.7489833,35.62707261,44.48914879,67.31616667
Prediction,666156,1978,72.99932948,186.0891052,167.0641833,150.6781583,1096.250678,4.827700787,1.641375,0.104027689,234.9498917,71.729525,0.046566889,308.1833917,57.94758271,70.01290356,152.93895,60.22698464,85.05591101,72.23355
Prediction,666156,2012,60.37599198,121.7065747,162.613975,156.427275,1096.250678,3.217185084,1.5782,0.101596887,230.2721417,80.04388333,0.044741167,309.0103833,57.94758271,84.53814257,145.4836,37.18205408,42.69575189,73.49493333
Prediction,666156,2009,85.44773152,243.6042486,176.0815083,147.070875,1096.250678,5.997609607,1.949958333,0.109419422,237.5160667,76.82335,0.048062618,311.4675,57.94758271,77.3889477,159.934325,50.00588863,71.8028287,68.27320833
Prediction,666156,2010,64.27188283,157.4535418,181.5234167,136.8246667,1096.250678,3.45980841,1.372383333,0.111797117,242.4438083,70.57165833,0.046469285,313.7535417,57.94758271,76.73331082,165.4725917,40.54522555,57.48914543,66.987475
Prediction,666156,2006,83.22901971,235.84623,169.3443167,146.4771583,1096.250678,7.593833783,1.843383333,0.107701146,229.098425,76.647475,0.045341001,304.9983667,57.94758271,75.96928465,154.3956,58.86157581,81.39072924,75.765925
Prediction,666156,2013,54.67788245,135.3577272,171.89905,148.2068667,1096.250678,4.504721883,1.59895,0.105187089,232.8660583,77.08014167,0.046569768,305.74195,57.94758271,70.78261765,155.7969917,41.53113276,59.4924657,74.87005
Prediction,666156,2011,127.1115909,351.7632088,187.90395,144.4509083,1096.250678,7.819032162,2.224291667,0.10792995,245.0708417,77.17720833,0.046895816,317.0968917,57.94758271,81.63289176,171.1257333,66.13638546,100.8403843,63.104275
