Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10274270,1951,80.7,262,163,128,689.5,19,5,0.111111111,235,56,0.036764706,291,56,87,147,52,66,90
Current,10274270,1952,89,323,174,115,689.5,26,3,0.135680751,220,69,0.045739825,289,50,53,158,56,75,92
Current,10274270,1953,58.8,125,167,155,689.5,NA,NA,0.135142522,244,78,0.034095312,322,49,54,151,43,45,59
Current,10274270,1954,50.5,85,169,116,689.5,NA,NA,0.084517045,223,62,0.037735849,285,43,48,153,36,41,96
Current,10274270,1955,53,148,175,114,689.5,NA,NA,0.133858268,228,61,0.038961039,289,36,46.2,159,38,45,92
Current,10274270,1956,60,204,162,128,689.5,NA,NA,0.116219397,236,54,0.038461538,290,54,92,146,42,53,91
Current,10274270,1957,63.9,177,177,134,689.5,10,3,0.066298343,244,67,0.036751752,311,42,84,161,44,49,70
Current,10274270,1958,58.9,121,165,120,689.5,2,1,0.107478632,235,50,0.043478261,285,43,64.4,149,38,44,96
Current,10274270,1959,39,82,160,139,689.5,NA,NA,0.103725782,229,70,0.035087719,299,40,42.7,144,34,41,82
Current,10274270,1960,39.7,109.5,150,138,689.5,NA,NA,0.142857143,227,61,0.038518519,288,35,39,134,33,35,93
Current,10274270,1961,27,51.5,155,128,689.5,NA,NA,0.135135135,220,63,0.038461538,283,32,35,139,25,27.4,98
Current,10274270,1962,55.6,189,165,124,689.5,11,3,0.088888889,221,68,0.04,289,32,61.6,149,37,44,92
Current,10274270,1963,49,130,164,124,689.5,NA,NA,0.081542818,233,55,0.046979866,288,34,39.3,148,37,41,93
Current,10274270,1964,57.9,173,175,130,689.5,10,1,0.144421272,236,69,0.042105263,305,33,40,159,40,47,76
Current,10274270,1965,69,220,173,134,689.5,20,3,0.094059406,235,72,0.037037037,307,54,83.2,157,55,60.8,74
Current,10274270,1966,53.4,133,152,152,689.5,NA,NA,0.089572193,227,77,0.029411765,304,27,51.5,136,39,62,77
Current,10274270,1967,85.2,130,154,132,689.5,10,1,0.081997588,240,46,0.054216867,286,37,45,138,92.5,105,95
Current,10274270,1968,61,101,168,163,689.5,NA,NA,0.095964539,258,73,0.042372881,331,27,51.9,152,77.5,104.1,50
Current,10274270,1969,84.6,300,167,109,689.5,11,2,0.088888889,227,49,0.050724638,276,36,48,151,85,99.7,105
Current,10274270,1970,85,170,196,82,689.5,9,1,0.065217391,241,37,0.0485774,278,46,66,180,82,92,103
Current,10274270,1971,82.4,206,94,193,689.5,4,1,0.063509632,243,44,0.03968254,287,25,35,78,63,104,94
Current,10274270,1972,106.4,313,133,145,689.5,5,1,0.061538462,238,40,0.043824701,278,56,101.4,117,94,104.8,103
Current,10274270,1973,84,203,178,95,689.5,7,1,0.092467065,228,45,0.042768883,273,52,69,162,85,98,108
Current,10274270,1974,89.5,206.5,146,136,689.5,13,3,0.089559421,225,57,0.045454545,282,48,50,130,84.5,94,99
Current,10274270,1975,125,234,184,121,689.5,22,2,0.120151546,248,57,0.045773525,305,47,70.6,168,105,117,76
Current,10274270,1976,80.8,152,163,109,689.5,1,1,0.086021505,228,44,0.056122449,272,49,62,147,80,95.2,109
Current,10274270,1977,NA,NA,NA,NA,689.5,NA,NA,NA,285,64,0.023809524,349,NA,NA,NA,29,30,32
Current,10274270,1978,71.2,267,157,122,689.5,2,1,0.111913357,238,41,0.050252525,279,22,35,141,71,86,102
Current,10274270,1979,77.6,145,153,119,689.5,2,1,0.086666667,233,39,0.056122449,272,38,45.4,137,73.5,93.3,109
Current,10274270,1980,97.6,365.5,180,104,689.5,20,2,0.10416137,250,34,0.056122449,284,37,98,164,92,103,97
Current,10274270,1981,43,85,184,161,689.5,NA,NA,0.056603774,241,104,0.045454545,345,33,42,168,37,43.6,36
Current,10274270,1982,107.2,255,153,132,689.5,24,3,0.103959856,223,62,0.04691358,285,30,66.8,137,89,103.6,96
Current,10274270,1983,136.4,267.5,165,128,689.5,21,1,0.062059238,246,47,0.048387097,293,61,107.2,149,86,121,88
Current,10274270,1984,142,349,180,116,689.5,24,1,0.086394785,240,56,0.037947347,296,91,152.7,164,108,119.6,85
Current,10274270,1985,106,189,135,131,689.5,14,3,0.09402508,219,47,0.038488125,266,47.7,119.2,119,86.9,103.7,115
Current,10274270,1986,99.92,411,125,179,689.5,43,6,0.090668301,245,59,0.043294615,304,62,88.4,109,91.6,99,77
Current,10274270,1987,49,81,145,192,689.5,NA,NA,0.050359712,214,123,0.032440963,337,54,69,129,45,48.6,44
Current,10274270,1988,39,66,156,208,689.5,NA,NA,0.055641026,230,134,0.03125,364,34,37,140,34,35,17
Current,10274270,1989,62,156,139,126,689.5,NA,NA,0.082066778,224,41,0.039230769,265,37,41,123,75,82,116
Current,10274270,1990,39,65,141,221,689.5,NA,NA,0.043478261,324,38,0.045548654,362,29,32.6,125,36,36,19
Current,10274270,1991,65.1,130,196,82,689.5,NA,NA,0.091525424,249,29,0.065443425,278,34,50,180,75,83,103
Current,10274270,1992,34,43,131,235,689.5,NA,NA,0.042253521,250,128,0.036375661,378,30,34,115,25,27,15
Current,10274270,1993,64,238,152,142,689.5,9,2,0.098637525,231,63,0.058035714,294,27,30,136,68,76,87
Current,10274270,1994,61.2,118,143,113,689.5,NA,NA,0.060661765,226,30,0.051863235,256,31,33,127,58,82,125
Current,10274270,1995,83,223.5,138,156,689.5,NA,NA,0.075905718,249,45,0.039473684,294,33,50.2,122,78.5,89,87
Current,10274270,1996,79.3,179,143,134,689.5,4,2,0.063106796,234,43,0.043050819,277,33,59.8,127,75,91.7,104
Current,10274270,1997,96.4,264,156,133,689.5,28,3,0.113207547,231,58,0.046017453,289,52,66,140,76,86,92
Current,10274270,1998,83.3,220.5,138,164,689.5,14,1,0.088235294,226,76,0.049792531,302,48,66.8,122,78.5,84,79
Current,10274270,1999,99,209,159,131,689.5,7,1,0.064705882,240,50,0.049792531,290,55,73.8,143,90,98,91
Current,10274270,2000,58,83,130,221,689.5,NA,NA,0.048953141,221,130,0.021674491,351,50,53,114,42,45,30
Current,10274270,2001,61.5,106,149,106,689.5,NA,NA,0.088881707,225,30,0.05982906,255,42,44.8,133,63,79.6,126
Current,10274270,2002,65.22,85.3,159,169,689.5,NA,NA,0.050210084,222,106,0.018887473,328,41.1,45,143,51.65,65.63,53
Current,10274270,2003,41.3,66.1,154,212,689.5,NA,NA,0.068842062,234,138,0.021317829,372,38.05,43.96,138,30.4,32.22,15
Current,10274270,2004,41.7,75.5,143,223,689.5,NA,NA,0.066037736,222,154,0.027295176,376,31.7,33.18,127,28.2,31.02,15
Current,10274270,2005,81.66,191,162,137,689.5,11,2,0.091076328,236,63,0.066006024,299,38.3,66.95,146,66.6,79.9,82
Current,10274270,2006,90.5,219,156,115,689.5,7,3,0.089005236,231,40,0.073241577,271,43.45,53.95,140,78.1,84.52,110
Current,10274270,2007,45.46,73.5,139,194,689.5,NA,NA,0.05864506,219,114,0.021865889,333,36.2,40.84,123,35.8,45.12,48
Current,10274270,2008,75.12,159,146,133,689.5,4,1,0.08988764,236,43,0.06763285,279,22.6,25.6,130,75.6,86.23,102
Current,10274270,2009,67.68,154,143,147,689.5,NA,NA,0.100525479,224,66,0.051724138,290,26.4,34.16,127,72.85,85.5,91
Current,10274270,2010,45.25,87.75,179,176,689.5,NA,NA,0.108527132,244,111,0.029366306,355,25.2,31.28,163,45.5,46.7,26
Current,10274270,2011,112,278,150,164,689.5,40,3,0.081497924,252,62,0.045966387,314,36,80.31,134,83.1,93.2,67
Current,10274270,2012,NA,NA,NA,NA,689.5,NA,NA,NA,215,136,0.027431421,351,NA,NA,NA,34.85,35.84,30
Current,10274270,2013,43.1,65,148,179,689.5,NA,NA,0.080522968,226,101,0.020661157,327,29.55,33.2,132,43.1,49.08,54
Current,10274270,2014,60.94,122,157,115,689.5,NA,NA,0.08757259,233,39,0.07564055,272,35,47,141,52,64.43,109
Current,10274270,2015,43.76,62.8,158,193,689.5,NA,NA,0.072254335,242,109,0.02513465,351,26.55,36.88,142,32.3,46.7,30
Current,10274270,2016,74.28,202,160,113,689.5,NA,NA,0.110474708,223,50,0.058823529,273,27.2,55.5,144,64.75,73.72,108
Current,10274270,2017,91.4,356,120,173,689.5,18,4,0.096428571,225,68,0.053959054,293,30.25,50.7,104,73,82.08,88
Current,10274270,2018,NA,NA,157,NA,689.5,NA,NA,0.064962197,214,NA,NA,NA,37,67.7,141,NA,NA,NA
Current,10274270,2019,72.27,260,150,138,689.5,1,1,0.077970393,247,41,0.065302514,288,26.5,35.17,134,71.8,98.97,93
Current,10274270,2020,59.12,153,149,119,689.5,NA,NA,0.071041104,222,46,0.064662916,268,30,33.92,133,67.5,79.14,113
Current,10274270,2021,33.4,43.6,124,242,689.5,NA,NA,0.029481047,287,80,0.016681235,367,30.3,33.53,108,28.4,30.18,15
Current,10274270,2022,53.48,104,160,113,689.5,NA,NA,0.089335173,232,41,0.036949399,273,31.3,40.77,144,59.6,65.38,108
