Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10349220,2002,79.4,133,44,322,218,90,4,0.019607843,273,105,0.04178273,378,94.2,96.9,28,30.5,39.46,15
Current,10349220,2003,NA,NA,203,NA,218,90,3,0.054239798,308,NA,NA,NA,74.3,77.4,187,NA,NA,NA
Current,10349220,2004,60.5,70.6,25,255,218,1,1,0.017885702,237,43,0.037406484,280,32.7,32.94,9,85.4,91.5,101
Current,10349220,2005,82.16,113,183,103,218,12,1,0.066666667,237,49,0.030150754,286,71.6,81.64,167,83.45,88.4,95
Current,10349220,2006,86.76,143,172,110,218,33,2,0.063261881,220,62,0.038278388,282,68.1,71.25,156,91.5,99.26,99
Current,10349220,2007,72.5,78,166,139,218,6,1,0.014698427,276,29,0.036905813,305,64.7,72.62,150,76.1,79.56,76
Current,10349220,2008,77.32,88.7,173,193,218,NA,NA,0.04,237,129,0.017323994,366,69.7,73.6,157,73.7,76.08,15
Current,10349220,2009,75.03,120.5,179,88,218,11,2,0.057654704,221,46,0.029745848,267,63,73.58,163,79.4,84.98,114
Current,10349220,2010,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,75.8,86.04,314
Current,10349220,2011,97.22,195,188,123,218,50,5,0.145513848,240,71,0.028436658,311,68.75,81.06,172,83.4,88.5,70
Current,10349220,2012,NA,NA,170,NA,218,NA,NA,0.036549708,317,NA,NA,NA,48.65,55.2,154,NA,NA,NA
Current,10349220,2013,57.38,76.4,158,115,218,NA,NA,0.012152778,233,40,0.016049351,273,56.3,59.1,142,80,87.84,108
Current,10349220,2014,61.7,81.65,157,209,218,NA,NA,0.018656716,278,100,0.017449547,378,60.1,64,141,58.2,59.4,15
