Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10390290,1951,NA,NA,NA,NA,205.5,23,2,NA,0,NA,NA,255,NA,NA,NA,148,170.6,126
Current,10390290,1952,87,183,108,215,205.5,89,6,0.044117647,309,14,0.0738265,323,136.5,166.9,92,162,204.9,58
Current,10390290,1953,NA,NA,NA,NA,205.5,50,4,NA,213,19,0.118055556,232,NA,NA,NA,124,165,149
Current,10390290,1954,131,197.5,60,150,205.5,55,12,0.027149877,179,31,0.031007752,210,161,173.7,44,158.5,186.1,171
Current,10390290,1955,115,138,184,101,205.5,5,3,0.046783626,261,24,0.036764706,285,143,163.3,168,146,187.6,96
Current,10390290,1956,126,168,198,121,205.5,39,8,0.055749806,307,12,0.041666667,319,170.5,198,182,183,192.9,62
Current,10390290,1957,131,149,10,230,205.5,2,1,0.020942408,17,223,0.02,240,NA,NA,0,158,184,141
Current,10390290,1958,NA,NA,235,NA,205.5,82,1,NA,12,210,0.041830065,222,111,143.2,219,222,246.3,159
Current,10390290,1959,145.2,188,44,119,205.5,24,7,0.025707111,78,85,0.014875028,163,177,185.9,28,154,186,218
Current,10390290,1960,110,136,147,62,205.5,1,1,NA,NA,NA,NA,209,154,162,131,137,153,172
Current,10390290,1961,86,135,9,268,205.5,NA,NA,0.021660265,28,249,0.014545647,277,NA,NA,0,71,94.8,104
Current,10390290,1962,NA,NA,NA,NA,205.5,NA,NA,NA,282,68,0.043890044,350,NA,NA,NA,92,123.1,31
Current,10390290,1963,66.4,102,56,278,205.5,1,1,0.018210457,147,187,0.040540541,334,99,105.1,40,73,93,47
Current,10390290,1964,NA,NA,30,NA,205.5,NA,NA,0.025641026,292,NA,NA,NA,75.5,79.7,14,NA,NA,NA
Current,10390290,1965,43,134,213,127,205.5,NA,NA,0.104938272,327,13,0.028962461,340,102,121,197,145.5,155.2,41
