Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10276878,1991,8,10,156,148,59,10,1,0.141851107,255,49,0.094298246,304,6.35,7.91,140,6.8,8.2,77
Current,10276878,1992,NA,NA,NA,NA,59,NA,NA,NA,203,124,0.072727273,327,NA,NA,NA,4.45,6,54
Current,10276878,1993,7.71,14,154,182,59,17,1,0.088888889,244,92,0.083333333,336,5.45,9.4,138,6.5,9.43,45
Current,10276878,1994,4.81,10,143,202,59,NA,NA,0.097619048,244,101,0.071428571,345,7.6,10,127,3.1,7.66,36
Current,10276878,1995,12,26,149,176,59,40,3,0.136363636,261,64,0.057142857,325,6.9,9,133,12,15,56
Current,10276878,1996,7,20,156,173,59,10,3,0.090909091,257,72,0.081666667,329,9.55,16,140,8,9,52
Current,10276878,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,10276878,2004,5,9,13,292,59,NA,NA,0.118606138,245,60,0.080828978,305,NA,NA,0,5.55,6.55,76
Current,10276878,2005,13.7,33.6,176,128,59,32,2,0.076076248,265,39,0.0625,304,10,13.82,160,8.95,11.15,77
Current,10276878,2006,11,25.95,168,168,59,24,2,0.066782205,255,81,0.058823529,336,10,12.4,152,9,11.07,45
Current,10276878,2007,NA,NA,NA,NA,59,NA,NA,NA,229,95,0.088209877,324,NA,NA,NA,7,11.1,57
Current,10276878,2008,10,23,167,155,59,8,2,0.07751938,251,71,0.058823529,322,8.1,10.9,151,8,11,59
Current,10276878,2009,11,23.7,162,141,59,1,1,0.064718163,237,66,0.056165397,303,10,11.5,146,9,10.4,78
Current,10276878,2010,9.76,21,163,139,59,5,1,0.083333333,254,48,0.049158978,302,10,11.9,147,9,10,79
Current,10276878,2011,14,31.5,175,159,59,53,3,0.064516129,271,63,0.051020408,334,9,13,159,12,15.4,47
Current,10276878,2012,7.98,11,102,179,59,NA,NA,0.090909091,242,39,0.05952381,281,8.55,14.1,86,6.4,8.02,100
Current,10276878,2013,8.8,11,112,154,59,NA,NA,0.08989899,234,32,0.052910053,266,7.8,11.15,96,7,9,115
Current,10276878,2014,5,9,94,248,59,NA,NA,0.080188679,243,99,0.111111111,342,5,8,78,6,8,39
Current,10276878,2015,6,8.3,112,254,59,NA,NA,0.067040149,243,132,0.125,375,7,8.15,96,4,5,15
Current,10276878,2016,6.36,9.8,87,209,59,NA,NA,0.055175038,237,59,0.051546392,296,4.6,9.3,71,6,9,85
Current,10276878,2017,11.42,20.7,134,153,59,14,2,0.0625,250,37,0.04964539,287,8.55,11,118,8,11,94
Current,10276878,2018,6.8,11.1,136,142,59,NA,NA,0.072289157,227,51,0.048199768,278,8.6,10.9,120,6,8,103
Current,10276878,2019,9.12,24.3,168,157,59,2,2,0.074733096,263,62,0.090909091,325,7.7,8.4,152,11,12,56
Current,10276878,2020,8,12.1,149,175,59,NA,NA,0.048780488,248,76,0.094153447,324,9,11,133,5,6,57
Current,10276878,2021,5.12,8.8,96,263,59,NA,NA,0.051546392,236,123,0.058823529,359,5.35,8,80,6,10,22
Current,10276878,2022,6.62,10.4,125,169,59,NA,NA,0.038216561,236,58,0.06097561,294,7.6,9.14,109,6,7,87
Current,10276878,2023,11,28,180,141,59,31,1,0.082352941,241,80,0.055467512,321,7.3,9.14,164,9,12,60
Current,10276878,2024,9,23.1,163,141,59,1,1,0.069218674,255,49,0.081081081,304,NA,NA,NA,NA,NA,NA
Prediction,10276878,1996,3.893595231,11.87071766,177.202,139.1452,37.14402308,5.22429216,1.47815,0.108349885,237.9771333,76.84559167,0.054737568,315.0505917,2.032798981,2.505993477,161.1,3.013625059,3.1682688,65.81354167
Prediction,10276878,2010,3.78603259,10.70616496,181.9331583,134.9319667,37.14402308,4.858693522,1.323858333,0.120199139,245.9907583,69.98808333,0.05685913,316.8717083,2.032798981,2.268650268,166.4925667,3.024262718,3.332292415,66.16411667
Prediction,10276878,1951,3.742750781,11.04416357,173.5773083,140.7341833,37.14402308,4.295708577,1.223541667,0.122304416,237.3703083,79.31156667,0.054891913,314.9094583,2.032798981,2.585523817,157.25485,2.896680028,2.977587935,67.22543333
Prediction,10276878,1994,3.346684605,9.455749088,161.37345,149.5910167,37.14402308,6.104145292,1.693858333,0.109244197,232.4132167,78.69940833,0.054414507,311.0701167,2.032798981,2.794173137,143.683375,2.635961169,2.707637387,69.95614167
Prediction,10276878,1970,3.737902623,10.96158942,182.827625,129.5966833,37.14402308,5.303082817,1.556833333,0.131312737,238.7042833,72.01856667,0.057199093,313.5784917,2.032798981,2.909886709,167.01655,3.002581344,3.37670555,67.78978333
Prediction,10276878,2009,4.204337104,11.68883939,174.48215,146.2048333,37.14402308,4.287979754,1.642133333,0.108889737,240.0753,76.49866667,0.056487905,316.0221917,2.032798981,2.648649301,158.089525,3.299017696,3.599787925,65.95683333
Prediction,10276878,1966,3.236060152,8.282931455,160.1261167,147.8701667,37.14402308,3.108011756,1.340466667,0.106011702,225.9906949,83.73854167,0.056446941,312.2522083,2.032798981,2.7790557,142.5257833,2.663062154,2.674130638,68.70343333
Prediction,10276878,1965,4.193378091,12.28751775,182.4635167,138.6097083,37.14402308,7.827786109,1.76625,0.134825483,239.7541833,79.83671667,0.056728856,313.91565,2.032798981,2.201584503,166.499075,3.739690885,4.040694537,68.9028
Prediction,10276878,2004,3.327035677,9.707667584,173.1115167,156.2624417,37.14402308,4.938154628,1.570833333,0.097684733,234.5249615,82.122875,0.055122286,313.3522,2.032798981,2.091725203,157.8406583,2.833038639,2.833757823,68.17048333
Prediction,10276878,2008,4.392693737,12.48245951,180.4437333,134.9513,37.14402308,7.709482665,2.219525,0.128451743,239.1886417,72.35155833,0.057026604,313.4014833,2.032798981,2.341003232,164.411525,3.654883596,3.795393949,68.82165
